experiment,female,male,ID,date,female.mated.before,trial.duration.s,latency.to.court,latency.to.mount,first.courtship.duration,first.mounting.duration,nb.flees,nb.courtships,nb.mounts
Set #01 Focal J191 x Non-focal G16,J191,G16,J191xG16,2021-05-18,TRUE,14554.56,3407.768,NA,NA,NA,1,1,0
Set #01 Focals J191 x J68,J191,J68,J191xJ68,2021-05-07,FALSE,14460,2904.655,3255.685,356,9,5,4,14
Set #02 Focal J190 x Non-focal J212,J190,J212,J190xJ212,2021-06-15,TRUE,14458.56,3081.463,5327.886,1321,828,2,7,21
Set #02 Focals J190 x J42,J190,J42,J190xJ42,2021-05-11,FALSE,5024.64,665.758,1059.066,954,559,2,3,5
Set #03 Focal J189 x Non-focal H37,J189,H37,J189xH37,2021-05-28,TRUE,14456.64,4867.904,NA,NA,NA,2,3,0
Set #03 Focals J189 x J112,J189,J112,J189xJ112,2021-05-21,FALSE,14428.8,2729.858,3918.12,1376,184,2,5,12
Set #04 Focal J101 x Non-focal H76,J101,H76,J101xH76,2021-06-21,TRUE,14474.4,3339.667,3787.477,499,48,10,9,22
Set #04 Focals J101 x J204,J101,J204,J101xJ204,2021-06-08,FALSE,11919.36,1416.947,1614.535,2627,2426,2,4,8
Set #05 Focal J102 x Non-focal J161,J102,J161,J102xJ161,2021-06-14,TRUE,14478.72,1439.473,4787.29,929,425,6,7,27
Set #05 Focals J102 x J206,J102,J206,J102xJ206,2021-06-08,FALSE,14452.8,402.325,3225.23,646,271,4,5,15
Set #06 Focal H45 x Non-focal H67,H45,H67,H45xH67,2021-06-24,TRUE,14532.48,681.27,NA,NA,NA,2,11,0
Set #06 Focals H45 x H65,H45,H65,H45xH65,2021-06-15,FALSE,14425.44,4266.812,5601.232,1352,16,0,4,7
Set #07 Focal J144 x Non-focal G38,J144,G38,J144xG38,2021-06-28,TRUE,14485.92,447.583,2895.581,463,77,0,8,8
Set #07 Focals J144 x G39,J144,G39,J144xG39,2021-06-22,FALSE,14483.04,2519.971,3464.446,1813,1259,1,4,3
Set #08 Focal J183 x Non-focal G35,J183,G35,J183xG35,2021-07-05,TRUE,14469.12,1940.79,3834.61,1949,55,8,7,6
Set #08 Focals J183 x H26,J183,H26,J183xH26,2021-06-29,FALSE,14465.28,1388.967,3247.426,2562,703,2,2,9
Set #09 Focal J110 x Non-focal J140,J110,J140,J110xJ140,2021-07-09,TRUE,7969.92,1335.054,3150.919,2842,1027,0,5,4
Set #09 Focals J110 x H67,J110,H67,J110xH67,2021-07-06,FALSE,14486.88,3025.857,3618.731,1102,509,0,5,10
Set #10 Focal G26 x Non-focal H73,G26,H73,G26xH73,2021-07-12,TRUE,14489.28,11013.597,NA,NA,NA,1,1,0
Set #10 Focals G26 x J203,G26,J203,G26xJ203,2021-07-07,FALSE,14423.52,7854.411,8697.403,927,78,1,4,9
Set #11 Focal H30 x Non-focal G38,H30,G38,H30xG38,2021-07-20,TRUE,14557.92,6169.326,9761.024,3636,41,4,4,20
Set #11 Focals H30 x H71,H30,H71,H30xH71,2021-07-16,FALSE,14488.8,5207.286,6618.923,1638,224,1,3,17
Set #12 Focal J124 x Non-focal G32,J124,G32,J124xG32,2021-07-26,TRUE,14533.44,7908.947,11695.612,1640,1111,6,6,8
Set #12 Focals J124 x G42,J124,G42,J124xG42,2021-07-21,FALSE,14429.28,2823.953,3542.106,1795,1074,6,5,3
Set #13 Focal H62 x Non-focal G33 2,H62,G33,H62xG33,2021-07-29,TRUE,14528.64,3978.612,9943.747,1274,100,2,2,3
Set #13 Focals H62 x J132,H62,J132,H62xJ132,2021-07-22,FALSE,14599.2,5541.398,6007.963,772,304,2,2,8
Set #14 Focal G30 x Non-focal H52,G30,H52,G30xH52,2021-08-04,TRUE,14631.84,5793.838,11688.243,4332,2890,0,2,1
Set #14 Focals G30 x J210,G30,J210,G30xJ210,2021-07-29,FALSE,14469.6,882.286,4238.254,2921,2423,3,5,5
Set #15 Focal J201 x Non-focal G32,J201,G32,J201xG32,2021-08-07,TRUE,14582.4,7049.843,NA,NA,NA,2,4,0
Set #15 Focals J201 x G43,J201,G43,J201xG43,2021-07-28,FALSE,14432.64,1469.427,8048.397,2103,35,4,4,7
