"","Behaviour","START","STOP","Duration","ID"
"1","Courtship.Start",10264.97,10265.52,0.550000000001091,"g2.G30xH52"
"2","Leg Showcase + Pedipalp Showcase",10265.52,10268.47,2.94999999999891,"g2.G30xH52"
"3","Freezing",10268.47,10269.84,1.3700000000008,"g2.G30xH52"
"5","Leg Showcase + Pedipalp Showcase",10269.85,10294.41,24.5599999999995,"g2.G30xH52"
"6","Freezing",10294.41,10296.6,2.19000000000051,"g2.G30xH52"
"8","Leg Showcase + Pedipalp Showcase",10296.62,10309.2,11.7899999999991,"g2.G30xH52"
"11","Freezing",10309.2,10314.99,5.78999999999905,"g2.G30xH52"
"12","Pedipalp Showcase",10314.99,10319.32,4.32999999999993,"g2.G30xH52"
"13","Freezing",10319.32,10337.52,18.2000000000007,"g2.G30xH52"
"14","Pedipalp Showcase",10337.52,10339.35,1.82999999999993,"g2.G30xH52"
"15","Freezing",10339.35,10344.37,5.02000000000044,"g2.G30xH52"
"16","Pedipalp Showcase",10344.37,10345.48,1.10999999999876,"g2.G30xH52"
"17","Leg Showcase + Pedipalp Showcase",10345.48,10358.74,12.3199999999997,"g2.G30xH52"
"20","Freezing",10358.74,10394.21,35.4699999999993,"g2.G30xH52"
"21","Leg Showcase",10394.21,10416.24,22.0300000000007,"g2.G30xH52"
"22","Freezing",10416.24,10434.33,18.0900000000001,"g2.G30xH52"
"23","Leg Showcase",10434.33,10449.55,15.2199999999993,"g2.G30xH52"
"24","Freezing",10449.55,10457.98,8.43000000000029,"g2.G30xH52"
"25","Leg Showcase",10457.98,10461.99,4.01000000000022,"g2.G30xH52"
"26","Freezing",10461.99,10630.81,168.82,"g2.G30xH52"
"27","Leg Showcase",10630.81,10654.07,23.2600000000002,"g2.G30xH52"
"28","Freezing",10654.07,10656.31,2.23999999999978,"g2.G30xH52"
"29","Leg Showcase",10656.31,10658.19,1.88000000000102,"g2.G30xH52"
"30","Freezing",10658.19,10668.72,10.5299999999988,"g2.G30xH52"
"31","Leg Showcase",10668.72,10671.21,2.48999999999978,"g2.G30xH52"
"32","Freezing",10671.21,10676.19,4.98000000000138,"g2.G30xH52"
"33","Leg Showcase",10676.19,10679.27,3.07999999999993,"g2.G30xH52"
"34","Freezing",10679.27,10693.53,14.2600000000002,"g2.G30xH52"
"35","Leg Showcase",10693.53,10697,3.46999999999935,"g2.G30xH52"
"36","Leg Showcase + Pedipalp Showcase",10697,10699.67,2.67000000000007,"g2.G30xH52"
"37","Leg Showcase",10699.67,10707.45,7.78000000000065,"g2.G30xH52"
"38","Freezing",10707.45,10711.35,3.89999999999964,"g2.G30xH52"
"39","Pedipalp Showcase",10711.35,10715.05,3.69999999999891,"g2.G30xH52"
"40","Freezing",10715.05,10720.37,5.32000000000153,"g2.G30xH52"
"41","Leg Showcase",10720.37,10727.65,7.27999999999884,"g2.G30xH52"
"42","Freezing",10727.65,10751.33,23.6800000000003,"g2.G30xH52"
"44","Leg Showcase + Pedipalp Showcase",10751.93,10754.88,2.94999999999891,"g2.G30xH52"
"46","Freezing",10754.9,10774.38,19.4799999999996,"g2.G30xH52"
"47","Leg Showcase",10774.38,10783.94,9.56000000000131,"g2.G30xH52"
"48","Freezing",10783.94,10984.08,200.139999999999,"g2.G30xH52"
"49","Leg Showcase",10984.08,10996.68,12.6000000000004,"g2.G30xH52"
"50","Freezing",10996.68,11007.08,10.3999999999996,"g2.G30xH52"
"51","Leg Showcase",11007.08,11010.97,3.88999999999942,"g2.G30xH52"
"52","Leg Showcase + Pedipalp Showcase",11010.97,11013.92,2.95000000000073,"g2.G30xH52"
"53","Leg Showcase",11013.92,11021.23,7.30999999999949,"g2.G30xH52"
"54","Freezing",11021.23,11028.18,6.95000000000073,"g2.G30xH52"
"55","Leg Showcase",11028.18,11034.3,6.11999999999898,"g2.G30xH52"
"56","Freezing",11034.3,11052.03,17.7300000000014,"g2.G30xH52"
"57","Leg Showcase",11052.03,11056.97,4.93999999999869,"g2.G30xH52"
"58","Freezing",11056.97,11058.15,1.18000000000029,"g2.G30xH52"
"59","Leg Showcase",11058.15,11064.08,5.93000000000029,"g2.G30xH52"
"60","Leg Showcase + Pedipalp Showcase",11064.08,11067.26,3.18000000000029,"g2.G30xH52"
"61","Leg Showcase",11067.26,11071.7,4.44000000000051,"g2.G30xH52"
"62","Freezing",11071.7,11083.16,11.4599999999991,"g2.G30xH52"
"63","Leg Showcase",11083.16,11091.48,8.31999999999971,"g2.G30xH52"
"64","Freezing",11091.48,11131.49,40.0100000000002,"g2.G30xH52"
"65","Pedipalp Showcase",11131.49,11133.29,1.80000000000109,"g2.G30xH52"
"67","Leg Showcase",11134.2,11143.7,9.5,"g2.G30xH52"
"68","Freezing",11143.7,11149.94,6.23999999999978,"g2.G30xH52"
"69","Leg Showcase",11149.94,11151.25,1.30999999999949,"g2.G30xH52"
"70","Leg Showcase + Pedipalp Showcase",11151.25,11153.09,1.84000000000015,"g2.G30xH52"
"71","Leg Showcase",11153.09,11156.26,3.17000000000007,"g2.G30xH52"
"72","Freezing",11156.26,11160.08,3.81999999999971,"g2.G30xH52"
"73","Leg Showcase",11160.08,11163.08,3,"g2.G30xH52"
"74","Freezing",11163.08,11171.74,8.65999999999985,"g2.G30xH52"
"75","Leg Showcase",11171.74,11177.46,5.71999999999935,"g2.G30xH52"
"76","Freezing",11177.46,11189.07,11.6100000000006,"g2.G30xH52"
"77","Leg Showcase",11189.07,11194.29,5.22000000000116,"g2.G30xH52"
"78","Freezing",11194.29,11202.67,8.3799999999992,"g2.G30xH52"
"79","Leg Showcase",11202.67,11206.72,4.04999999999927,"g2.G30xH52"
"80","Freezing",11206.72,11208.43,1.71000000000095,"g2.G30xH52"
"81","Leg Showcase",11208.43,11210.24,1.80999999999949,"g2.G30xH52"
"82","Freezing",11210.24,11211.96,1.71999999999935,"g2.G30xH52"
"83","Pedipalp Showcase",11211.96,11214.25,2.29000000000087,"g2.G30xH52"
