"","Behaviour","START","STOP","Duration","ID"
"1","Courtship.Start",3406.7,3409.85,3.15000000000009,"g2.J101xH76"
"2","Pedipalp Showcase",3409.85,3410.97,1.11999999999989,"g2.J101xH76"
"4","Leg Showcase",3411.64,3420.67,9.0300000000002,"g2.J101xH76"
"5","Abdomen Tapping",3420.67,3420.68,0.00999999999976353,"g2.J101xH76"
"6","Leg Showcase",3420.68,3426.12,5.44000000000005,"g2.J101xH76"
"7","Freezing",3426.12,3438.62,12.5,"g2.J101xH76"
"8","Leg Showcase",3438.62,3443.84,5.22000000000025,"g2.J101xH76"
"9","Freezing",3443.84,3445.65,1.80999999999995,"g2.J101xH76"
"10","Leg Showcase",3445.65,3455.95,10.2999999999997,"g2.J101xH76"
"11","Freezing",3455.95,3462.95,7,"g2.J101xH76"
"12","Leg Showcase",3462.95,3471.75,8.80000000000018,"g2.J101xH76"
"13","Freezing",3471.75,3482.81,11.0599999999999,"g2.J101xH76"
"14","Abdomen Tapping",3482.81,3482.82,0.0100000000002183,"g2.J101xH76"
"16","Leg Showcase",3483.09,3496.23,13.1399999999999,"g2.J101xH76"
"17","Freezing",3496.23,3509.02,12.79,"g2.J101xH76"
"18","Abdomen Tapping",3509.02,3509.03,0.0100000000002183,"g2.J101xH76"
"21","Leg Showcase + Pedipalp Showcase",3510.08,3513.53,3.45000000000027,"g2.J101xH76"
"23","Freezing",3514.11,3523.27,9.15999999999985,"g2.J101xH76"
"24","Leg Showcase + Pedipalp Showcase",3523.27,3524.93,1.65999999999985,"g2.J101xH76"
"26","Freezing",3525.03,3546.04,21.0099999999998,"g2.J101xH76"
"27","Abdomen Tapping",3546.04,3546.05,0.0100000000002183,"g2.J101xH76"
"30","Leg Showcase + Pedipalp Showcase",3546.35,3548.56,2.21000000000004,"g2.J101xH76"
"32","Freezing",3548.61,3552.03,3.42000000000007,"g2.J101xH76"
"33","Pedipalp Showcase",3552.03,3555.02,2.98999999999978,"g2.J101xH76"
"34","Freezing",3555.02,3574.42,19.4000000000001,"g2.J101xH76"
"36","Leg Showcase + Pedipalp Showcase",3574.43,3578.58,4.15000000000009,"g2.J101xH76"
"38","Freezing",3578.77,3601.06,22.29,"g2.J101xH76"
"40","Leg Showcase + Pedipalp Showcase",3601.15,3603.48,2.32999999999993,"g2.J101xH76"
"42","Freezing",3603.53,3621.7,18.1699999999996,"g2.J101xH76"
"44","Leg Showcase + Pedipalp Showcase",3621.73,3623.9,2.17000000000007,"g2.J101xH76"
"46","Freezing",3624.13,3641.19,17.0599999999999,"g2.J101xH76"
"48","Leg Showcase + Pedipalp Showcase",3641.22,3644.46,3.24000000000024,"g2.J101xH76"
"49","Freezing",3644.46,3676.52,32.0599999999999,"g2.J101xH76"
"51","Leg Showcase + Pedipalp Showcase",3676.53,3678.44,1.90999999999985,"g2.J101xH76"
"53","Freezing",3678.75,3748.5,69.75,"g2.J101xH76"
"55","Leg Showcase + Pedipalp Showcase",3748.51,3750.98,2.4699999999998,"g2.J101xH76"
"56","Freezing",3750.98,3763.65,12.6700000000001,"g2.J101xH76"
"58","Leg Showcase + Pedipalp Showcase",3763.7,3767.65,3.95000000000027,"g2.J101xH76"
"60","Freezing",3767.91,3789.65,21.7400000000002,"g2.J101xH76"
"61","Leg Showcase + Pedipalp Showcase",3789.65,3791.89,2.23999999999978,"g2.J101xH76"
"63","Freezing",3792.11,3813.3,21.1900000000001,"g2.J101xH76"
"64","Mounting.Start",3813.3,3813.31,0.00999999999976353,"g2.J101xH76"
"67","Leg Showcase + Mounted + Pedipalp Showcase",3813.35,3817.18,3.82999999999993,"g2.J101xH76"
"69","Mounted + Freezing",3817.24,3830.23,12.9900000000002,"g2.J101xH76"
"71","Leg Showcase + Mounted + Pedipalp Showcase",3830.53,3831.64,1.10999999999967,"g2.J101xH76"
"72","Mounted + Pedipalp Showcase",3831.64,3833.66,2.01999999999998,"g2.J101xH76"
"73","Mounted + Freezing",3833.66,3850.16,16.5,"g2.J101xH76"
"75","Leg Showcase + Mounted + Pedipalp Showcase",3850.98,3852.07,1.09000000000015,"g2.J101xH76"
"76","Mounted + Pedipalp Showcase",3852.07,3854.73,2.65999999999985,"g2.J101xH76"
"77","Mounted + Freezing",3854.73,3862.95,8.2199999999998,"g2.J101xH76"
"78","Retreat",3862.95,3867.49,4.53999999999996,"g2.J101xH76"
