"","Behaviour","START","STOP","Duration","ID"
"1","Courtship.Start",2527.45,2532.01,4.5600000000004,"g2.J144xG38"
"2","Abdomen Tapping",2532.01,2532.05,0.0399999999999636,"g2.J144xG38"
"3","Leg Showcase",2532.05,2535.03,2.98000000000002,"g2.J144xG38"
"4","Leg Showcase + Pedipalp Showcase",2535.03,2537.04,2.00999999999976,"g2.J144xG38"
"5","Leg Showcase",2537.04,2539.23,2.19000000000005,"g2.J144xG38"
"6","Freezing",2539.23,2540.42,1.19000000000005,"g2.J144xG38"
"7","Leg Showcase",2540.42,2544.04,3.61999999999989,"g2.J144xG38"
"8","Leg Showcase + Pedipalp Showcase",2544.04,2546.82,2.7800000000002,"g2.J144xG38"
"9","Leg Showcase",2546.82,2547.86,1.03999999999996,"g2.J144xG38"
"10","Leg Showcase + Pedipalp Showcase",2547.86,2562.97,15.1099999999997,"g2.J144xG38"
"11","Leg Showcase",2562.97,2576.32,13.3500000000004,"g2.J144xG38"
"12","Leg Showcase + Pedipalp Showcase",2576.32,2577.66,1.33999999999969,"g2.J144xG38"
"13","Leg Showcase",2577.66,2586.22,8.55999999999995,"g2.J144xG38"
"14","Pedipalp Showcase",2586.22,2591.76,5.54000000000042,"g2.J144xG38"
"15","Leg Showcase + Pedipalp Showcase",2591.76,2598.96,7.19999999999982,"g2.J144xG38"
"16","Abdomen Tapping",2598.96,2598.97,0.00999999999976353,"g2.J144xG38"
"17","Leg Showcase + Pedipalp Showcase",2598.97,2601.93,2.96000000000004,"g2.J144xG38"
"18","Freezing",2601.93,2610.99,9.05999999999995,"g2.J144xG38"
"19","Leg Showcase",2610.99,2613.6,2.61000000000013,"g2.J144xG38"
"20","Leg Showcase + Pedipalp Showcase",2613.6,2617.97,4.36999999999989,"g2.J144xG38"
"21","Leg Showcase",2617.97,2629.15,11.1800000000003,"g2.J144xG38"
"22","Freezing",2629.15,2632.9,3.75,"g2.J144xG38"
"23","Leg Showcase",2632.9,2647.4,14.5,"g2.J144xG38"
"24","Leg Showcase + Pedipalp Showcase",2647.4,2652.84,5.44000000000005,"g2.J144xG38"
"25","Leg Showcase",2652.84,2665.47,12.6299999999997,"g2.J144xG38"
"26","Freezing",2665.47,2697.36,31.8900000000003,"g2.J144xG38"
"27","Leg Showcase",2697.36,2704.98,7.61999999999989,"g2.J144xG38"
"28","Abdomen Tapping",2704.98,2704.99,0.00999999999976353,"g2.J144xG38"
"29","Freezing",2704.99,2706,1.01000000000022,"g2.J144xG38"
"31","Leg Showcase + Pedipalp Showcase",2706.65,2710.01,3.36000000000013,"g2.J144xG38"
"32","Leg Showcase",2710.01,2712.64,2.62999999999965,"g2.J144xG38"
"33","Freezing",2712.64,2730.08,17.4400000000001,"g2.J144xG38"
"34","Leg Showcase",2730.08,2732.49,2.40999999999985,"g2.J144xG38"
"35","Freezing",2732.49,2747.55,15.0600000000004,"g2.J144xG38"
"36","Abdomen Tapping",2747.55,2747.56,0.00999999999976353,"g2.J144xG38"
"38","Leg Showcase + Pedipalp Showcase",2747.6,2750.49,2.88999999999987,"g2.J144xG38"
"40","Freezing",2751.22,2758.41,7.19000000000005,"g2.J144xG38"
"42","Leg Showcase + Pedipalp Showcase",2758.46,2760.64,2.17999999999984,"g2.J144xG38"
"43","Leg Showcase",2760.64,2763.9,3.26000000000022,"g2.J144xG38"
"44","Freezing",2763.9,2778.92,15.02,"g2.J144xG38"
"46","Leg Showcase + Pedipalp Showcase",2778.95,2783.13,4.18000000000029,"g2.J144xG38"
"49","Pedipalp Showcase",2783.17,2798.71,15.54,"g2.J144xG38"
