"","Behaviour","START","STOP","Duration","ID"
"1","Courtship.Start",7862.78,7868.78,6,"g1.G26xJ203"
"2","Leg Showcase",7868.78,7873.03,4.25,"g1.G26xJ203"
"3","Leg Showcase + Pedipalp Showcase",7873.03,7874.94,1.90999999999985,"g1.G26xJ203"
"5","Freezing",7875.11,7877.44,2.32999999999993,"g1.G26xJ203"
"6","Leg Showcase",7877.44,7888.23,10.79,"g1.G26xJ203"
"7","Freezing",7888.23,7890.04,1.8100000000004,"g1.G26xJ203"
"9","Leg Showcase + Pedipalp Showcase",7890.81,7894.38,3.56999999999971,"g1.G26xJ203"
"10","Leg Showcase",7894.38,7896.4,2.01999999999953,"g1.G26xJ203"
"11","Freezing",7896.4,7899.98,3.57999999999993,"g1.G26xJ203"
"12","Leg Showcase",7899.98,7914.91,14.9300000000003,"g1.G26xJ203"
"13","Freezing",7914.91,7918.19,3.27999999999975,"g1.G26xJ203"
"14","Leg Showcase",7918.19,7939.04,20.8500000000004,"g1.G26xJ203"
"15","Leg Showcase + Pedipalp Showcase",7939.04,7941.79,2.75,"g1.G26xJ203"
"16","Leg Showcase",7941.79,7947.04,5.25,"g1.G26xJ203"
"17","Freezing",7947.04,7949.17,2.13000000000011,"g1.G26xJ203"
"18","Leg Showcase",7949.17,7950.68,1.51000000000022,"g1.G26xJ203"
"19","Abdomen Tapping",7950.68,7950.69,0.00999999999930878,"g1.G26xJ203"
"20","Leg Showcase",7950.69,7966.04,15.3500000000004,"g1.G26xJ203"
"21","Freezing",7966.04,7968.51,2.47000000000025,"g1.G26xJ203"
"22","Leg Showcase",7968.51,7979.61,11.0999999999995,"g1.G26xJ203"
"23","Leg Showcase + Pedipalp Showcase",7979.61,7982.63,3.02000000000044,"g1.G26xJ203"
"25","Freezing",7982.67,7989.19,6.51999999999953,"g1.G26xJ203"
"27","Leg Showcase + Pedipalp Showcase",7989.95,7995.26,5.3100000000004,"g1.G26xJ203"
"28","Leg Showcase",7995.26,7999.84,4.57999999999993,"g1.G26xJ203"
"29","Abdomen Tapping",7999.84,7999.85,0.0100000000002183,"g1.G26xJ203"
"30","Leg Showcase",7999.85,8002.32,2.46999999999935,"g1.G26xJ203"
"31","Leg Showcase + Pedipalp Showcase",8002.32,8005.1,2.78000000000065,"g1.G26xJ203"
"32","Leg Showcase",8005.1,8008.68,3.57999999999993,"g1.G26xJ203"
"33","Freezing",8008.68,8067.29,58.6099999999997,"g1.G26xJ203"
"34","Leg Showcase",8067.29,8081.09,13.8000000000002,"g1.G26xJ203"
"35","Freezing",8081.09,8083.97,2.88000000000011,"g1.G26xJ203"
"36","Leg Showcase",8083.97,8098.12,14.1499999999996,"g1.G26xJ203"
"37","Freezing",8098.12,8101.15,3.02999999999975,"g1.G26xJ203"
"38","Leg Showcase",8101.15,8104.92,3.77000000000044,"g1.G26xJ203"
"39","Leg Showcase + Pedipalp Showcase",8104.92,8107.98,3.05999999999949,"g1.G26xJ203"
"40","Leg Showcase",8107.98,8109.66,1.68000000000029,"g1.G26xJ203"
"41","Freezing",8109.66,8116.5,6.84000000000015,"g1.G26xJ203"
"42","Leg Showcase",8116.5,8119.38,2.88000000000011,"g1.G26xJ203"
"43","Freezing",8119.38,8125.29,5.90999999999985,"g1.G26xJ203"
"44","Leg Showcase",8125.29,8133.38,8.09000000000015,"g1.G26xJ203"
"45","Freezing",8133.38,8138.63,5.25,"g1.G26xJ203"
"46","Leg Showcase",8138.63,8142.23,3.59999999999945,"g1.G26xJ203"
"47","Freezing",8142.23,8154.44,12.21,"g1.G26xJ203"
"48","Leg Showcase",8154.44,8158.41,3.97000000000025,"g1.G26xJ203"
"49","Freezing",8158.41,8160.14,1.73000000000047,"g1.G26xJ203"
"50","Leg Showcase",8160.14,8162.54,2.39999999999964,"g1.G26xJ203"
"51","Freezing",8162.54,8170.21,7.67000000000007,"g1.G26xJ203"
"52","Leg Showcase",8170.21,8171.4,1.1899999999996,"g1.G26xJ203"
"53","Freezing",8171.4,8175.58,4.18000000000029,"g1.G26xJ203"
"54","Leg Showcase",8175.58,8184.42,8.84000000000015,"g1.G26xJ203"
"55","Freezing",8184.42,8208.7,24.2800000000007,"g1.G26xJ203"
"56","Leg Showcase",8208.7,8210.4,1.69999999999891,"g1.G26xJ203"
"57","Freezing",8210.4,8215.4,5,"g1.G26xJ203"
"58","Leg Showcase",8215.4,8220.26,4.86000000000058,"g1.G26xJ203"
"59","Freezing",8220.26,8237.67,17.4099999999999,"g1.G26xJ203"
"60","Leg Showcase",8237.67,8251.24,13.5699999999997,"g1.G26xJ203"
"61","Freezing",8251.24,8258.02,6.78000000000065,"g1.G26xJ203"
"62","Leg Showcase",8258.02,8260.98,2.95999999999913,"g1.G26xJ203"
"63","Freezing",8260.98,8270.75,9.77000000000044,"g1.G26xJ203"
"64","Leg Showcase",8270.75,8278.55,7.79999999999927,"g1.G26xJ203"
"65","Freezing",8278.55,8286.57,8.02000000000044,"g1.G26xJ203"
"66","Leg Showcase",8286.57,8288.33,1.76000000000022,"g1.G26xJ203"
"67","Leg Showcase + Pedipalp Showcase",8288.33,8289.72,1.38999999999942,"g1.G26xJ203"
"69","Freezing",8290.59,8299.51,8.92000000000007,"g1.G26xJ203"
"70","Leg Showcase",8299.51,8304.08,4.56999999999971,"g1.G26xJ203"
"71","Freezing",8304.08,8308.78,4.70000000000073,"g1.G26xJ203"
"72","Leg Showcase",8308.78,8320.83,12.0499999999993,"g1.G26xJ203"
"73","Freezing",8320.83,8355.91,35.0799999999999,"g1.G26xJ203"
"74","Leg Showcase",8355.91,8357.32,1.40999999999985,"g1.G26xJ203"
"75","Leg Showcase + Pedipalp Showcase",8357.32,8358.73,1.40999999999985,"g1.G26xJ203"
"77","Freezing",8359.28,8368.3,9.01999999999862,"g1.G26xJ203"
"78","Leg Showcase",8368.3,8370.46,2.15999999999985,"g1.G26xJ203"
"79","Freezing",8370.46,8379.1,8.64000000000124,"g1.G26xJ203"
"80","Abdomen Tapping",8379.1,8379.11,0.0100000000002183,"g1.G26xJ203"
"81","Freezing",8379.11,8380.46,1.34999999999854,"g1.G26xJ203"
"82","Leg Showcase",8380.46,8396.21,15.75,"g1.G26xJ203"
"83","Leg Showcase + Pedipalp Showcase",8396.21,8397.6,1.39000000000124,"g1.G26xJ203"
"85","Freezing",8398.18,8400.62,2.44000000000051,"g1.G26xJ203"
"86","Leg Showcase",8400.62,8405.07,4.44999999999891,"g1.G26xJ203"
"87","Abdomen Tapping",8405.07,8405.08,0.0100000000002183,"g1.G26xJ203"
"88","Leg Showcase",8405.08,8406.96,1.8799999999992,"g1.G26xJ203"
"89","Leg Showcase + Pedipalp Showcase",8406.96,8409.38,2.42000000000007,"g1.G26xJ203"
"90","Leg Showcase",8409.38,8416.46,6.34000000000015,"g1.G26xJ203"
"93","Abdomen Tapping",8416.46,8416.47,0.0100000000002183,"g1.G26xJ203"
"94","Leg Showcase",8416.47,8422.37,5.90000000000146,"g1.G26xJ203"
"95","Freezing",8422.37,8423.9,1.52999999999884,"g1.G26xJ203"
"96","Leg Showcase",8423.9,8436.91,13.0100000000002,"g1.G26xJ203"
"97","Freezing",8436.91,8439.28,2.3700000000008,"g1.G26xJ203"
"98","Leg Showcase",8439.28,8447.4,8.11999999999898,"g1.G26xJ203"
"99","Freezing",8447.4,8448.85,1.45000000000073,"g1.G26xJ203"
"100","Leg Showcase",8448.85,8457.46,8.60999999999876,"g1.G26xJ203"
"101","Freezing",8457.46,8465.82,8.36000000000058,"g1.G26xJ203"
"102","Leg Showcase",8465.82,8471.17,5.35000000000036,"g1.G26xJ203"
"103","Freezing",8471.17,8485.14,13.9699999999993,"g1.G26xJ203"
"105","Abdomen Tapping",8485.81,8485.82,0.0100000000002183,"g1.G26xJ203"
"106","Leg Showcase",8485.82,8488.57,2.75,"g1.G26xJ203"
"107","Freezing",8488.57,8494.86,6.29000000000087,"g1.G26xJ203"
"108","Leg Showcase",8494.86,8502.24,7.3799999999992,"g1.G26xJ203"
"109","Freezing",8502.24,8505.87,3.63000000000102,"g1.G26xJ203"
"110","Leg Showcase",8505.87,8508.27,2.39999999999964,"g1.G26xJ203"
"111","Leg Showcase + Pedipalp Showcase",8508.27,8511.66,3.38999999999942,"g1.G26xJ203"
"112","Leg Showcase",8511.66,8513.04,1.38000000000102,"g1.G26xJ203"
"113","Freezing",8513.04,8518.51,5.46999999999935,"g1.G26xJ203"
"114","Leg Showcase",8518.51,8520.02,1.51000000000022,"g1.G26xJ203"
"115","Leg Showcase + Pedipalp Showcase",8520.02,8521.2,1.18000000000029,"g1.G26xJ203"
"116","Leg Showcase",8521.2,8522.89,1.68999999999869,"g1.G26xJ203"
"117","Freezing",8522.89,8525.25,2.36000000000058,"g1.G26xJ203"
"118","Leg Showcase",8525.25,8532.75,7.5,"g1.G26xJ203"
"119","Abdomen Tapping",8532.75,8532.76,0.0100000000002183,"g1.G26xJ203"
"120","Leg Showcase",8532.76,8537.86,5.10000000000036,"g1.G26xJ203"
"121","Freezing",8537.86,8547.08,9.21999999999935,"g1.G26xJ203"
"123","Abdomen Tapping",8548.08,8548.09,0.0100000000002183,"g1.G26xJ203"
"124","Leg Showcase",8548.09,8553.01,4.92000000000007,"g1.G26xJ203"
"126","Abdomen Tapping",8553.99,8554,0.0100000000002183,"g1.G26xJ203"
"127","Freezing",8554,8560.74,6.73999999999978,"g1.G26xJ203"
"128","Leg Showcase",8560.74,8564.18,3.44000000000051,"g1.G26xJ203"
"129","Freezing",8564.18,8577.53,13.3500000000004,"g1.G26xJ203"
"130","Leg Showcase",8577.53,8582.03,4.5,"g1.G26xJ203"
"131","Freezing",8582.03,8598.23,16.1999999999989,"g1.G26xJ203"
"132","Leg Showcase",8598.23,8601.1,2.8700000000008,"g1.G26xJ203"
"133","Freezing",8601.1,8612.73,11.6299999999992,"g1.G26xJ203"
"135","Leg Showcase + Pedipalp Showcase",8613.18,8615.41,2.22999999999956,"g1.G26xJ203"
"137","Freezing",8616.33,8638.65,22.3199999999997,"g1.G26xJ203"
"139","Leg Showcase + Pedipalp Showcase",8638.92,8640.96,2.03999999999905,"g1.G26xJ203"
"141","Freezing",8641.75,8675.77,34.0200000000004,"g1.G26xJ203"
"143","Leg Showcase + Pedipalp Showcase",8675.8,8678.24,2.44000000000051,"g1.G26xJ203"
"145","Freezing",8678.39,8695.05,16.6599999999999,"g1.G26xJ203"
"147","Leg Showcase + Pedipalp Showcase",8695.21,8698.58,3.3700000000008,"g1.G26xJ203"
"148","Freezing",8698.58,8712.19,13.6100000000006,"g1.G26xJ203"
"149","Leg Showcase",8712.19,8713.57,1.3799999999992,"g1.G26xJ203"
"150","Freezing",8713.57,8732.83,19.2600000000002,"g1.G26xJ203"
"151","Mounting.Start",8732.83,8732.84,0.0100000000002183,"g1.G26xJ203"
"153","Leg Showcase + Mounted",8732.89,8736.56,3.67000000000007,"g1.G26xJ203"
"154","Mounted + Freezing",8736.56,8749.29,12.7300000000014,"g1.G26xJ203"
"156","Leg Showcase + Mounted + Pedipalp Showcase",8749.47,8754.52,5.05000000000109,"g1.G26xJ203"
"157","Mounted + Freezing",8754.52,8773.96,19.4399999999987,"g1.G26xJ203"
"159","Leg Showcase + Mounted + Pedipalp Showcase",8773.99,8777.67,3.68000000000029,"g1.G26xJ203"
"161","Mounted + Freezing",8777.69,8787.34,9.64999999999964,"g1.G26xJ203"
"163","Leg Showcase + Mounted + Pedipalp Showcase",8787.45,8793.43,5.97999999999956,"g1.G26xJ203"
"164","Mounted + Freezing",8793.43,8798.44,5.01000000000022,"g1.G26xJ203"
"166","Leg Showcase + Mounted + Pedipalp Showcase",8798.68,8800.56,1.8799999999992,"g1.G26xJ203"
"167","Mounted + Freezing",8800.56,8862.51,61.9500000000007,"g1.G26xJ203"
"169","Leg Showcase + Mounted + Pedipalp Showcase",8862.53,8864.87,2.34000000000015,"g1.G26xJ203"
"170","Mounted + Pedipalp Showcase",8864.87,8866.18,1.30999999999949,"g1.G26xJ203"
"171","Mounted + Freezing",8866.18,8883.14,16.9599999999991,"g1.G26xJ203"
"173","Leg Showcase + Mounted + Pedipalp Showcase",8883.16,8885.58,2.42000000000007,"g1.G26xJ203"
"174","Mounted + Freezing",8885.58,8902.67,17.0900000000001,"g1.G26xJ203"
"176","Leg Showcase + Mounted + Pedipalp Showcase",8902.72,8907.22,4.5,"g1.G26xJ203"
"177","Mounted + Freezing",8907.22,8918.09,10.8700000000008,"g1.G26xJ203"
"179","Leg Showcase + Mounted + Pedipalp Showcase",8918.11,8922.84,4.72999999999956,"g1.G26xJ203"
"180","Mounted + Freezing",8922.84,8963.09,40.25,"g1.G26xJ203"
"182","Leg Showcase + Mounted + Pedipalp Showcase",8963.19,8967.54,4.35000000000036,"g1.G26xJ203"
"183","Mounted + Freezing",8967.54,8979.93,12.3899999999994,"g1.G26xJ203"
"185","Leg Showcase + Mounted + Pedipalp Showcase",8979.98,8984.59,4.61000000000058,"g1.G26xJ203"
"186","Mounted + Freezing",8984.59,8999.55,14.9599999999991,"g1.G26xJ203"
"188","Leg Showcase + Mounted + Pedipalp Showcase",8999.58,9001.59,2.01000000000022,"g1.G26xJ203"
"189","Mounted + Freezing",9001.59,9024.64,23.0499999999993,"g1.G26xJ203"
"191","Leg Showcase + Mounted + Pedipalp Showcase",9024.65,9032.35,7.70000000000073,"g1.G26xJ203"
"192","Mounted + Freezing",9032.35,9059.63,27.2799999999988,"g1.G26xJ203"
"194","Leg Showcase + Mounted + Pedipalp Showcase",9059.66,9062.47,2.80999999999949,"g1.G26xJ203"
"195","Mounted + Freezing",9062.47,9085.04,22.5700000000015,"g1.G26xJ203"
"197","Leg Showcase + Mounted + Pedipalp Showcase",9085.05,9088.55,3.5,"g1.G26xJ203"
"199","Mounted + Freezing",9088.57,9103.99,15.4200000000001,"g1.G26xJ203"
"200","Leg Showcase + Mounted + Pedipalp Showcase",9103.99,9109.1,5.11000000000058,"g1.G26xJ203"
"202","Mounted + Freezing",9109.15,9124.06,14.9099999999999,"g1.G26xJ203"
"204","Leg Showcase + Mounted + Pedipalp Showcase",9124.15,9128.86,4.71000000000095,"g1.G26xJ203"
"206","Mounted + Freezing",9129.39,9149.84,20.4500000000007,"g1.G26xJ203"
"208","Leg Showcase + Mounted + Pedipalp Showcase",9150.18,9156.78,6.60000000000036,"g1.G26xJ203"
"210","Mounted + Freezing",9156.82,9184.15,27.3299999999999,"g1.G26xJ203"
"212","Leg Showcase + Mounted + Pedipalp Showcase",9184.36,9190.29,5.93000000000029,"g1.G26xJ203"
"213","Mounted + Freezing",9190.29,9206.75,16.4599999999991,"g1.G26xJ203"
"215","Leg Showcase + Mounted + Pedipalp Showcase",9206.95,9209.89,2.93999999999869,"g1.G26xJ203"
"216","Mounted + Freezing",9209.89,9232.25,22.3600000000006,"g1.G26xJ203"
"218","Leg Showcase + Mounted + Pedipalp Showcase",9232.29,9236.77,4.47999999999956,"g1.G26xJ203"
"219","Leg Showcase + Mounted",9236.77,9238.13,1.35999999999876,"g1.G26xJ203"
"220","Mounted + Freezing",9238.13,9255.54,17.4100000000017,"g1.G26xJ203"
"222","Leg Showcase + Mounted + Pedipalp Showcase",9255.59,9257.22,1.6299999999992,"g1.G26xJ203"
"223","Leg Showcase + Mounted",9257.22,9258.32,1.10000000000036,"g1.G26xJ203"
"224","Mounted + Freezing",9258.32,9272,13.6800000000003,"g1.G26xJ203"
"226","Leg Showcase + Mounted + Pedipalp Showcase",9272.05,9275.4,3.35000000000036,"g1.G26xJ203"
"227","Mounted + Freezing",9275.4,9285.54,10.1400000000012,"g1.G26xJ203"
"229","Leg Showcase + Mounted + Pedipalp Showcase",9285.59,9289.26,3.67000000000007,"g1.G26xJ203"
"230","Mounted + Freezing",9289.26,9308.86,19.6000000000004,"g1.G26xJ203"
"232","Leg Showcase + Mounted + Pedipalp Showcase",9308.89,9315.97,7.07999999999993,"g1.G26xJ203"
"233","Mounted + Freezing",9315.97,9341.68,25.7100000000009,"g1.G26xJ203"
"235","Leg Showcase + Mounted + Pedipalp Showcase",9341.72,9348.31,6.59000000000015,"g1.G26xJ203"
"237","Mounted + Freezing",9348.37,9358.3,9.92999999999847,"g1.G26xJ203"
"239","Leg Showcase + Mounted + Pedipalp Showcase",9358.31,9363.87,5.56000000000131,"g1.G26xJ203"
"241","Mounted + Freezing",9363.88,9374.34,10.4600000000009,"g1.G26xJ203"
"243","Leg Showcase + Mounted + Pedipalp Showcase",9374.39,9379.89,5.5,"g1.G26xJ203"
"244","Mounted + Freezing",9379.89,9396.14,16.25,"g1.G26xJ203"
"246","Leg Showcase + Mounted + Pedipalp Showcase",9396.15,9399.71,3.55999999999949,"g1.G26xJ203"
"248","Mounted + Freezing",9399.8,9417.29,17.4900000000016,"g1.G26xJ203"
"250","Leg Showcase + Mounted + Pedipalp Showcase",9417.34,9423.07,5.72999999999956,"g1.G26xJ203"
"251","Mounted + Freezing",9423.07,9437.98,14.9099999999999,"g1.G26xJ203"
"253","Leg Showcase + Mounted + Pedipalp Showcase",9438.04,9444.25,6.20999999999913,"g1.G26xJ203"
"254","Mounted + Freezing",9444.25,9455.47,11.2199999999993,"g1.G26xJ203"
"256","Leg Showcase + Mounted + Pedipalp Showcase",9455.56,9459.56,4,"g1.G26xJ203"
"257","Mounted + Freezing",9459.56,9475.68,16.1200000000008,"g1.G26xJ203"
"259","Leg Showcase + Mounted + Pedipalp Showcase",9475.78,9478.07,2.28999999999905,"g1.G26xJ203"
"261","Mounted + Freezing",9478.14,9484.31,6.17000000000007,"g1.G26xJ203"
"263","Leg Showcase + Mounted + Pedipalp Showcase",9484.37,9485.39,1.01999999999862,"g1.G26xJ203"
"264","Leg Showcase + Mounted",9485.39,9490.08,4.69000000000051,"g1.G26xJ203"
"266","Retreat",9490.42,9491.76,1.34000000000015,"g1.G26xJ203"
