"","Behaviour","START","STOP","Duration","ID"
"1","Courtship.Start",3856.28,3860.79,4.50999999999976,"g1.G30xJ210"
"2","Leg Showcase",3860.79,3867.96,6.22000000000025,"g1.G30xJ210"
"5","Freezing",3867.96,3869.48,1.51999999999998,"g1.G30xJ210"
"6","Leg Showcase",3869.48,3874.26,4.7800000000002,"g1.G30xJ210"
"7","Leg Showcase + Pedipalp Showcase",3874.26,3875.46,1.19999999999982,"g1.G30xJ210"
"9","Freezing",3875.76,3877.59,1.82999999999993,"g1.G30xJ210"
"11","Leg Showcase + Pedipalp Showcase",3877.82,3880.09,2.26999999999998,"g1.G30xJ210"
"13","Freezing",3880.14,3881.65,1.51000000000022,"g1.G30xJ210"
"14","Abdomen Tapping",3881.65,3881.66,0.00999999999976353,"g1.G30xJ210"
"15","Freezing",3881.66,3884.74,3.07999999999993,"g1.G30xJ210"
"16","Leg Showcase",3884.74,3888.95,4.21000000000004,"g1.G30xJ210"
"17","Leg Showcase + Pedipalp Showcase",3888.95,3896.75,7.80000000000018,"g1.G30xJ210"
"18","Leg Showcase",3896.75,3908.37,11.6199999999999,"g1.G30xJ210"
"19","Abdomen Tapping",3908.37,3908.38,0.0100000000002183,"g1.G30xJ210"
"20","Leg Showcase",3908.38,3940.59,32.21,"g1.G30xJ210"
"21","Abdomen Tapping",3940.59,3940.6,0.00999999999976353,"g1.G30xJ210"
"22","Leg Showcase",3940.6,3963.7,23.0999999999999,"g1.G30xJ210"
"23","Freezing",3963.7,3967.58,3.88000000000011,"g1.G30xJ210"
"24","Leg Showcase",3967.58,3992.13,24.5500000000002,"g1.G30xJ210"
"25","Leg Showcase + Pedipalp Showcase",3992.13,3993.36,1.23000000000002,"g1.G30xJ210"
"26","Leg Showcase",3993.36,4000.4,7.03999999999996,"g1.G30xJ210"
"27","Freezing",4000.4,4002.62,2.2199999999998,"g1.G30xJ210"
"30","Leg Showcase",4003.81,4006.65,2.84000000000015,"g1.G30xJ210"
"31","Leg Showcase + Pedipalp Showcase",4006.65,4011.3,4.65000000000009,"g1.G30xJ210"
"32","Abdomen Tapping",4011.3,4011.31,0.00999999999976353,"g1.G30xJ210"
"33","Leg Showcase + Pedipalp Showcase",4011.31,4018.46,7.15000000000009,"g1.G30xJ210"
"34","Abdomen Tapping",4018.46,4018.47,0.00999999999976353,"g1.G30xJ210"
"35","Leg Showcase + Pedipalp Showcase",4018.47,4019.97,1.5,"g1.G30xJ210"
"36","Leg Showcase",4019.97,4021.94,1.97000000000025,"g1.G30xJ210"
"37","Leg Showcase + Pedipalp Showcase",4021.94,4045.16,23.2199999999998,"g1.G30xJ210"
"38","Abdomen Tapping",4045.16,4045.17,0.0100000000002183,"g1.G30xJ210"
"39","Leg Showcase + Pedipalp Showcase",4045.17,4064.56,19.3899999999999,"g1.G30xJ210"
"40","Leg Showcase",4064.56,4075.82,11.2600000000002,"g1.G30xJ210"
"41","Leg Showcase + Pedipalp Showcase",4075.82,4079.79,3.9699999999998,"g1.G30xJ210"
"42","Leg Showcase",4079.79,4083.87,4.07999999999993,"g1.G30xJ210"
"43","Freezing",4083.87,4087.62,3.75,"g1.G30xJ210"
"45","Leg Showcase + Pedipalp Showcase",4087.63,4090.07,2.44000000000005,"g1.G30xJ210"
