"","Behaviour","START","STOP","Duration","ID"
"1","Abdomen Tapping",4727.84,4730.61,2.76999999999953,"g1.H30xH71"
"2","Leg Showcase",4730.61,4780.63,50.0200000000004,"g1.H30xH71"
"3","Freezing",4780.63,4792.2,11.5699999999997,"g1.H30xH71"
"4","Leg Showcase",4792.2,4813.75,21.5500000000002,"g1.H30xH71"
"5","Freezing",4813.75,4819.69,5.9399999999996,"g1.H30xH71"
"6","Leg Showcase",4819.69,4881.63,61.9400000000005,"g1.H30xH71"
"7","Freezing",4881.63,4887.61,5.97999999999956,"g1.H30xH71"
"8","Leg Showcase",4887.61,4889.29,1.68000000000029,"g1.H30xH71"
"9","Freezing",4889.29,4927.02,37.7300000000005,"g1.H30xH71"
"10","Leg Showcase",4927.02,4940.69,13.6699999999992,"g1.H30xH71"
"11","Freezing",4940.69,4942.38,1.69000000000051,"g1.H30xH71"
"12","Leg Showcase",4942.38,5018.98,76.5999999999995,"g1.H30xH71"
"13","Abdomen Tapping",5018.98,5018.99,0.0100000000002183,"g1.H30xH71"
"14","Leg Showcase",5018.99,5022.12,3.13000000000011,"g1.H30xH71"
"15","Leg Showcase + Pedipalp Showcase",5022.12,5025.89,3.77000000000044,"g1.H30xH71"
"16","Leg Showcase",5025.89,5029.07,3.17999999999938,"g1.H30xH71"
"17","Leg Showcase + Pedipalp Showcase",5029.07,5036.14,7.07000000000062,"g1.H30xH71"
"18","Leg Showcase",5036.14,5050.55,14.4099999999999,"g1.H30xH71"
"19","Leg Showcase + Pedipalp Showcase",5050.55,5053.23,2.67999999999938,"g1.H30xH71"
"21","Freezing",5053.68,5089.79,36.1099999999997,"g1.H30xH71"
"22","Leg Showcase",5089.79,5155.37,65.5799999999999,"g1.H30xH71"
"23","Freezing",5155.37,5168.39,13.0200000000004,"g1.H30xH71"
"24","Abdomen Tapping",5168.39,5168.4,0.00999999999930878,"g1.H30xH71"
"26","Leg Showcase",5168.55,5181.36,12.8099999999995,"g1.H30xH71"
"27","Freezing",5181.36,5191.1,9.74000000000069,"g1.H30xH71"
"28","Leg Showcase",5191.1,5206.72,15.6199999999999,"g1.H30xH71"
"29","Freezing",5206.72,5271.46,64.7399999999998,"g1.H30xH71"
"30","Leg Showcase",5271.46,5286.25,14.79,"g1.H30xH71"
"31","Freezing",5286.25,5290.52,4.27000000000044,"g1.H30xH71"
"32","Leg Showcase",5290.52,5350.92,60.3999999999996,"g1.H30xH71"
"33","Abdomen Tapping",5350.92,5351.13,0.0200000000004366,"g1.H30xH71"
"36","Leg Showcase",5351.13,5421.35,69.2200000000003,"g1.H30xH71"
"39","Freezing",5421.35,5444.58,23.2299999999996,"g1.H30xH71"
"40","Abdomen Tapping",5444.58,5444.59,0.0100000000002183,"g1.H30xH71"
"41","Freezing",5444.59,5445.79,1.19999999999982,"g1.H30xH71"
"42","Leg Showcase",5445.79,5507.9,61.5099999999993,"g1.H30xH71"
"45","Freezing",5507.9,5520.35,12.4500000000007,"g1.H30xH71"
"46","Abdomen Tapping",5520.35,5520.36,0.00999999999930878,"g1.H30xH71"
"48","Leg Showcase",5521.13,5532.32,11.1899999999996,"g1.H30xH71"
"49","Freezing",5532.32,5535.29,2.97000000000025,"g1.H30xH71"
"50","Leg Showcase",5535.29,5544.15,8.85999999999967,"g1.H30xH71"
"51","Freezing",5544.15,5556.66,12.5100000000002,"g1.H30xH71"
"52","Leg Showcase",5556.66,5567.58,10.9200000000001,"g1.H30xH71"
"53","Freezing",5567.58,5663.22,95.6400000000003,"g1.H30xH71"
"54","Leg Showcase",5663.22,5673.58,10.3599999999997,"g1.H30xH71"
"55","Abdomen Tapping",5673.58,5673.59,0.0100000000002183,"g1.H30xH71"
"56","Leg Showcase",5673.59,5677.93,4.34000000000015,"g1.H30xH71"
"58","Retreat",5678.27,5680.78,2.50999999999931,"g1.H30xH71"
"59","Freezing",5680.78,5697.69,16.9099999999999,"g1.H30xH71"
"60","Leg Showcase",5697.69,5699.43,1.74000000000069,"g1.H30xH71"
"61","Freezing",5699.43,5721.53,22.0999999999995,"g1.H30xH71"
"62","Leg Showcase",5721.53,5722.58,1.05000000000018,"g1.H30xH71"
"63","Freezing",5722.58,5745.38,22.8000000000002,"g1.H30xH71"
"64","Abdomen Tapping",5745.38,5745.39,0.0100000000002183,"g1.H30xH71"
"65","Freezing",5745.39,5748.5,3.10999999999967,"g1.H30xH71"
"66","Leg Showcase",5748.5,5766.9,18.3999999999996,"g1.H30xH71"
"67","Freezing",5766.9,5772.47,5.57000000000062,"g1.H30xH71"
"68","Leg Showcase",5772.47,5791.15,18.6799999999994,"g1.H30xH71"
"69","Abdomen Tapping",5791.15,5791.16,0.0100000000002183,"g1.H30xH71"
"70","Leg Showcase",5791.16,5808.68,17.5200000000004,"g1.H30xH71"
"71","Freezing",5808.68,5809.87,1.1899999999996,"g1.H30xH71"
