"","Behaviour","START","STOP","Duration","ID"
"1","Courtship.Start",4657.8,4660.82,3.01999999999953,"g1.H62xJ132"
"2","Leg Showcase",4660.82,4663.78,2.96000000000004,"g1.H62xJ132"
"3","Freezing",4663.78,4679.28,15.5,"g1.H62xJ132"
"4","Leg Showcase",4679.28,4684.4,5.11999999999989,"g1.H62xJ132"
"5","Freezing",4684.4,4690.95,6.55000000000018,"g1.H62xJ132"
"6","Leg Showcase",4690.95,4699.27,8.32000000000062,"g1.H62xJ132"
"7","Freezing",4699.27,4713.2,13.9299999999994,"g1.H62xJ132"
"8","Leg Showcase",4713.2,4719.71,6.51000000000022,"g1.H62xJ132"
"9","Freezing",4719.71,4741.53,21.8199999999997,"g1.H62xJ132"
"10","Leg Showcase",4741.53,4752.01,10.4800000000005,"g1.H62xJ132"
"11","Freezing",4752.01,4760.16,8.14999999999964,"g1.H62xJ132"
"12","Leg Showcase",4760.16,4768.48,8.31999999999971,"g1.H62xJ132"
"13","Freezing",4768.48,4779.08,10.6000000000004,"g1.H62xJ132"
"14","Abdomen Tapping",4779.08,4779.09,0.0100000000002183,"g1.H62xJ132"
"15","Freezing",4779.09,4782.4,3.30999999999949,"g1.H62xJ132"
"16","Leg Showcase",4782.4,4826.05,43.6500000000005,"g1.H62xJ132"
"17","Freezing",4826.05,4832.34,6.28999999999996,"g1.H62xJ132"
"18","Leg Showcase",4832.34,4836.07,3.72999999999956,"g1.H62xJ132"
"19","Freezing",4836.07,4845.97,9.90000000000055,"g1.H62xJ132"
"20","Leg Showcase",4845.97,4860.02,14.0500000000002,"g1.H62xJ132"
"21","Freezing",4860.02,4875.12,15.0999999999995,"g1.H62xJ132"
"22","Leg Showcase",4875.12,4885.54,10.4200000000001,"g1.H62xJ132"
"23","Freezing",4885.54,4891.98,6.4399999999996,"g1.H62xJ132"
"24","Leg Showcase",4891.98,4905.87,13.8900000000003,"g1.H62xJ132"
"25","Freezing",4905.87,4919.13,13.2600000000002,"g1.H62xJ132"
"26","Leg Showcase",4919.13,4925.25,6.11999999999989,"g1.H62xJ132"
"27","Freezing",4925.25,4939.39,14.1400000000003,"g1.H62xJ132"
"28","Leg Showcase",4939.39,4954.66,15.2699999999995,"g1.H62xJ132"
"29","Freezing",4954.66,4974.04,19.3800000000001,"g1.H62xJ132"
"30","Leg Showcase",4974.04,4977.73,3.6899999999996,"g1.H62xJ132"
"31","Freezing",4977.73,4990.13,12.4000000000005,"g1.H62xJ132"
"32","Abdomen Tapping",4990.13,4990.14,0.0100000000002183,"g1.H62xJ132"
"33","Freezing",4990.14,4993.12,2.97999999999956,"g1.H62xJ132"
"34","Leg Showcase",4993.12,5000.68,7.5600000000004,"g1.H62xJ132"
"35","Freezing",5000.68,5019.22,18.54,"g1.H62xJ132"
"36","Leg Showcase",5019.22,5023.63,4.40999999999985,"g1.H62xJ132"
"37","Freezing",5023.63,5026.7,3.06999999999971,"g1.H62xJ132"
"38","Leg Showcase",5026.7,5038.62,11.9200000000001,"g1.H62xJ132"
"39","Freezing",5038.62,5045.15,6.52999999999975,"g1.H62xJ132"
"40","Leg Showcase",5045.15,5060.75,15.6000000000004,"g1.H62xJ132"
"41","Freezing",5060.75,5098.28,37.5299999999997,"g1.H62xJ132"
"42","Leg Showcase",5098.28,5102.5,4.22000000000025,"g1.H62xJ132"
"43","Leg Showcase + Pedipalp Showcase",5102.5,5105.11,2.60999999999967,"g1.H62xJ132"
"44","Leg Showcase",5105.11,5119.39,14.2800000000007,"g1.H62xJ132"
"45","Freezing",5119.39,5126.21,6.81999999999971,"g1.H62xJ132"
"46","Leg Showcase",5126.21,5144.43,18.2200000000003,"g1.H62xJ132"
"47","Freezing",5144.43,5152.51,8.07999999999993,"g1.H62xJ132"
"48","Leg Showcase",5152.51,5159.62,7.10999999999967,"g1.H62xJ132"
"49","Freezing",5159.62,5171.8,12.1800000000003,"g1.H62xJ132"
"50","Leg Showcase",5171.8,5174.25,2.44999999999982,"g1.H62xJ132"
"51","Freezing",5174.25,5180.87,6.61999999999989,"g1.H62xJ132"
"52","Abdomen Tapping",5180.87,5180.88,0.0100000000002183,"g1.H62xJ132"
"53","Freezing",5180.88,5183.94,3.05999999999949,"g1.H62xJ132"
"54","Leg Showcase",5183.94,5196.21,12.2700000000004,"g1.H62xJ132"
"55","Freezing",5196.21,5208.98,12.7699999999995,"g1.H62xJ132"
"56","Leg Showcase",5208.98,5216.43,7.45000000000073,"g1.H62xJ132"
"57","Freezing",5216.43,5227.93,11.5,"g1.H62xJ132"
"58","Leg Showcase",5227.93,5239.97,12.04,"g1.H62xJ132"
"59","Freezing",5239.97,5271.42,31.4499999999998,"g1.H62xJ132"
"60","Leg Showcase",5271.42,5274.49,3.06999999999971,"g1.H62xJ132"
"61","Leg Showcase + Pedipalp Showcase",5274.49,5276.09,1.60000000000036,"g1.H62xJ132"
"62","Leg Showcase",5276.09,5277.66,1.56999999999971,"g1.H62xJ132"
"63","Freezing",5277.66,5289.89,12.2300000000005,"g1.H62xJ132"
"64","Leg Showcase",5289.89,5296.63,6.73999999999978,"g1.H62xJ132"
"65","Freezing",5296.63,5339.16,42.5299999999997,"g1.H62xJ132"
"66","Abdomen Tapping",5339.16,5339.17,0.0100000000002183,"g1.H62xJ132"
"68","Leg Showcase",5339.4,5341.28,1.88000000000011,"g1.H62xJ132"
"69","Leg Showcase + Pedipalp Showcase",5341.28,5346.79,5.51000000000022,"g1.H62xJ132"
"71","Freezing",5347.73,5351.53,3.80000000000018,"g1.H62xJ132"
"72","Leg Showcase",5351.53,5364.65,13.1199999999999,"g1.H62xJ132"
"73","Freezing",5364.65,5422.85,58.2000000000007,"g1.H62xJ132"
"74","Pedipalp Showcase",5422.85,5425.82,2.96999999999935,"g1.H62xJ132"
"75","Leg Showcase + Pedipalp Showcase",5425.82,5427,1.18000000000029,"g1.H62xJ132"
"76","Leg Showcase",5427,5433.04,6.03999999999996,"g1.H62xJ132"
"79","Freezing",5434.32,5436.03,1.71000000000004,"g1.H62xJ132"
"80","Leg Showcase",5436.03,5440.16,4.13000000000011,"g1.H62xJ132"
"81","Freezing",5440.16,5444.89,4.73000000000047,"g1.H62xJ132"
"82","Leg Showcase",5444.89,5454.27,8.69999999999982,"g1.H62xJ132"
"87","Leg Showcase + Pedipalp Showcase",5455.48,5460.62,5.14000000000033,"g1.H62xJ132"
"89","Freezing",5460.74,5462.5,1.76000000000022,"g1.H62xJ132"
"90","Leg Showcase",5462.5,5465.96,3.46000000000004,"g1.H62xJ132"
"91","Freezing",5465.96,5478.56,12.6000000000004,"g1.H62xJ132"
"92","Leg Showcase",5478.56,5481.85,3.28999999999996,"g1.H62xJ132"
"93","Leg Showcase + Pedipalp Showcase",5481.85,5483.35,1.5,"g1.H62xJ132"
"94","Leg Showcase",5483.35,5488.88,5.52999999999975,"g1.H62xJ132"
"95","Freezing",5488.88,5492.2,3.31999999999971,"g1.H62xJ132"
"96","Leg Showcase",5492.2,5498.31,6.11000000000058,"g1.H62xJ132"
"97","Freezing",5498.31,5566.07,66.8599999999988,"g1.H62xJ132"
"100","Abdomen Tapping",5566.07,5566.08,0.0100000000002183,"g1.H62xJ132"
"102","Leg Showcase",5566.75,5630.08,62.7599999999993,"g1.H62xJ132"
"105","Freezing",5630.08,5659.97,29.8900000000003,"g1.H62xJ132"
"106","Leg Showcase",5659.97,5662.98,3.00999999999931,"g1.H62xJ132"
"107","Freezing",5662.98,5672.6,9.6200000000008,"g1.H62xJ132"
"108","Leg Showcase",5672.6,5709.09,36.4899999999998,"g1.H62xJ132"
"109","Freezing",5709.09,5724.77,15.6800000000003,"g1.H62xJ132"
"111","Abdomen Tapping",5725.22,5725.23,0.00999999999930878,"g1.H62xJ132"
"112","Leg Showcase",5725.23,5729.15,3.92000000000007,"g1.H62xJ132"
"113","Freezing",5729.15,5758.74,29.5,"g1.H62xJ132"
"116","Abdomen Tapping",5758.74,5758.75,0.0100000000002183,"g1.H62xJ132"
"117","Freezing",5758.75,5760,1.25,"g1.H62xJ132"
"118","Leg Showcase",5760,5767.8,7.80000000000018,"g1.H62xJ132"
"119","Freezing",5767.8,5769.54,1.73999999999978,"g1.H62xJ132"
"120","Leg Showcase",5769.54,5780.48,10.9399999999996,"g1.H62xJ132"
"121","Abdomen Tapping",5780.48,5780.49,0.0100000000002183,"g1.H62xJ132"
"122","Leg Showcase",5780.49,5785.47,4.98000000000047,"g1.H62xJ132"
"123","Freezing",5785.47,5790,4.52999999999975,"g1.H62xJ132"
"124","Abdomen Tapping",5790,5790.01,0.0100000000002183,"g1.H62xJ132"
"126","Leg Showcase",5790.9,5797.34,6.44000000000051,"g1.H62xJ132"
"127","Freezing",5797.34,5805.85,8.51000000000022,"g1.H62xJ132"
"128","Leg Showcase",5805.85,5812.53,6.67999999999938,"g1.H62xJ132"
"129","Freezing",5812.53,5815.1,2.57000000000062,"g1.H62xJ132"
"130","Leg Showcase",5815.1,5835.33,20.2299999999996,"g1.H62xJ132"
"131","Freezing",5835.33,5838.48,3.14999999999964,"g1.H62xJ132"
"132","Leg Showcase",5838.48,5844.71,6.23000000000047,"g1.H62xJ132"
"133","Freezing",5844.71,5848.1,3.39000000000033,"g1.H62xJ132"
"134","Leg Showcase",5848.1,5852.12,4.01999999999953,"g1.H62xJ132"
"136","Abdomen Tapping",5852.5,5852.51,0.0100000000002183,"g1.H62xJ132"
"138","Leg Showcase",5853.51,5858.34,4.82999999999993,"g1.H62xJ132"
"139","Freezing",5858.34,5866.34,8,"g1.H62xJ132"
"140","Leg Showcase",5866.34,5869.33,2.98999999999978,"g1.H62xJ132"
"141","Freezing",5869.33,5874.53,5.19999999999982,"g1.H62xJ132"
"142","Leg Showcase",5874.53,5878.63,4.10000000000036,"g1.H62xJ132"
"143","Freezing",5878.63,5887.45,8.81999999999971,"g1.H62xJ132"
"144","Abdomen Tapping",5887.45,5887.46,0.0100000000002183,"g1.H62xJ132"
"145","Freezing",5887.46,5889.47,2.01000000000022,"g1.H62xJ132"
"146","Leg Showcase",5889.47,5890.75,1.27999999999975,"g1.H62xJ132"
"147","Freezing",5890.75,5938.72,47.9700000000003,"g1.H62xJ132"
"149","Leg Showcase + Pedipalp Showcase",5938.8,5940.92,2.11999999999989,"g1.H62xJ132"
"150","Leg Showcase",5940.92,5941.99,1.06999999999971,"g1.H62xJ132"
"151","Freezing",5941.99,6030.84,88.8500000000004,"g1.H62xJ132"
"152","Mounting.Start",6030.84,6030.85,0.0100000000002183,"g1.H62xJ132"
"155","Leg Showcase + Mounted + Pedipalp Showcase",6031.3,6041.62,10.3199999999997,"g1.H62xJ132"
"156","Mounted + Freezing",6041.62,6044.63,3.01000000000022,"g1.H62xJ132"
"158","Leg Showcase + Mounted + Pedipalp Showcase",6045.01,6051.18,6.17000000000007,"g1.H62xJ132"
"159","Mounted + Freezing",6051.18,6070.08,18.8999999999996,"g1.H62xJ132"
"161","Leg Showcase + Mounted + Pedipalp Showcase",6070.11,6071.74,1.63000000000011,"g1.H62xJ132"
"162","Leg Showcase + Mounted",6071.74,6073.12,1.38000000000011,"g1.H62xJ132"
"163","Leg Showcase + Mounted + Pedipalp Showcase",6073.12,6074.16,1.03999999999996,"g1.H62xJ132"
"165","Mounted + Freezing",6074.21,6087.65,13.4399999999996,"g1.H62xJ132"
"167","Leg Showcase + Mounted + Pedipalp Showcase",6088.15,6090.31,2.16000000000076,"g1.H62xJ132"
"169","Mounted + Freezing",6090.41,6101.76,11.3500000000004,"g1.H62xJ132"
"170","Leg Showcase + Mounted",6101.76,6103.08,1.31999999999971,"g1.H62xJ132"
"171","Leg Showcase + Mounted + Pedipalp Showcase",6103.08,6105.13,2.05000000000018,"g1.H62xJ132"
"173","Mounted + Freezing",6105.16,6115.28,10.1199999999999,"g1.H62xJ132"
"175","Leg Showcase + Mounted + Pedipalp Showcase",6115.86,6118.7,2.84000000000015,"g1.H62xJ132"
"177","Mounted + Freezing",6118.88,6130.7,11.8199999999997,"g1.H62xJ132"
"179","Leg Showcase + Mounted + Pedipalp Showcase",6130.78,6134.23,3.44999999999982,"g1.H62xJ132"
"180","Mounted + Freezing",6134.23,6148.9,14.6700000000001,"g1.H62xJ132"
"182","Leg Showcase + Mounted + Pedipalp Showcase",6148.92,6157.56,8.64000000000033,"g1.H62xJ132"
"183","Mounted + Freezing",6157.56,6169.56,12,"g1.H62xJ132"
"184","Leg Showcase + Mounted + Pedipalp Showcase",6169.56,6176.53,6.96999999999935,"g1.H62xJ132"
"186","Mounted + Freezing",6176.64,6186.62,9.97999999999956,"g1.H62xJ132"
"188","Leg Showcase + Mounted + Pedipalp Showcase",6186.66,6189.78,3.11999999999989,"g1.H62xJ132"
"189","Mounted + Freezing",6189.78,6197.2,7.42000000000007,"g1.H62xJ132"
"191","Leg Showcase + Mounted + Pedipalp Showcase",6197.25,6202.13,4.88000000000011,"g1.H62xJ132"
"192","Mounted + Freezing",6202.13,6211.29,9.15999999999985,"g1.H62xJ132"
"194","Leg Showcase + Mounted + Pedipalp Showcase",6211.34,6215.27,3.93000000000029,"g1.H62xJ132"
"195","Mounted + Freezing",6215.27,6224.07,8.79999999999927,"g1.H62xJ132"
"197","Leg Showcase + Mounted + Pedipalp Showcase",6224.19,6227.8,3.61000000000058,"g1.H62xJ132"
"199","Mounted + Freezing",6227.85,6235.49,7.63999999999942,"g1.H62xJ132"
"201","Leg Showcase + Mounted + Pedipalp Showcase",6235.54,6239.08,3.53999999999996,"g1.H62xJ132"
"203","Mounted + Freezing",6239.11,6256.19,17.0799999999999,"g1.H62xJ132"
"205","Leg Showcase + Mounted + Pedipalp Showcase",6256.54,6259.29,2.75,"g1.H62xJ132"
"207","Mounted + Freezing",6259.42,6261.2,1.77999999999975,"g1.H62xJ132"
"209","Leg Showcase + Mounted + Pedipalp Showcase",6261.24,6263.49,2.25,"g1.H62xJ132"
"210","Mounted + Freezing",6263.49,6280.56,17.0700000000006,"g1.H62xJ132"
"212","Leg Showcase + Mounted + Pedipalp Showcase",6280.58,6284.46,3.88000000000011,"g1.H62xJ132"
"214","Mounted + Freezing",6284.48,6288.76,4.28000000000065,"g1.H62xJ132"
"216","Leg Showcase + Mounted + Pedipalp Showcase",6288.77,6292.59,3.81999999999971,"g1.H62xJ132"
"217","Mounted + Freezing",6292.59,6302.28,9.6899999999996,"g1.H62xJ132"
"219","Leg Showcase + Mounted + Pedipalp Showcase",6302.33,6305.01,2.68000000000029,"g1.H62xJ132"
"221","Mounted + Freezing",6305.96,6320.17,14.21,"g1.H62xJ132"
"223","Leg Showcase + Mounted + Pedipalp Showcase",6320.21,6324.32,4.10999999999967,"g1.H62xJ132"
"225","Mounted + Freezing",6324.37,6332.49,8.11999999999989,"g1.H62xJ132"
"227","Leg Showcase + Mounted + Pedipalp Showcase",6332.53,6337.92,5.39000000000033,"g1.H62xJ132"
"229","Mounted + Freezing",6337.97,6339.78,1.80999999999949,"g1.H62xJ132"
"230","Retreat",6339.78,6346.07,6.28999999999996,"g1.H62xJ132"
