"","Behaviour","START","STOP","Duration","ID"
"1","Courtship.Start",1471.94,1472.14,0.200000000000045,"g1.J101xJ204"
"2","Leg Showcase",1472.14,1477.68,4.57999999999993,"g1.J101xJ204"
"5","Freezing",1477.68,1478.79,1.1099999999999,"g1.J101xJ204"
"6","Leg Showcase",1478.79,1486.66,7.87000000000012,"g1.J101xJ204"
"7","Freezing",1486.66,1489.98,3.31999999999994,"g1.J101xJ204"
"8","Abdomen Tapping",1489.98,1489.99,0.00999999999999091,"g1.J101xJ204"
"9","Freezing",1489.99,1567.25,77.26,"g1.J101xJ204"
"10","Abdomen Tapping",1567.25,1567.26,0.00999999999999091,"g1.J101xJ204"
"11","Freezing",1567.26,1568.71,1.45000000000005,"g1.J101xJ204"
"12","Leg Showcase",1568.71,1583.91,15.2,"g1.J101xJ204"
"13","Freezing",1583.91,1599.91,16,"g1.J101xJ204"
"14","Abdomen Tapping",1599.91,1599.92,0.00999999999999091,"g1.J101xJ204"
"16","Leg Showcase",1600.16,1603.38,3.22000000000003,"g1.J101xJ204"
"17","Freezing",1603.38,1612.42,8.25999999999999,"g1.J101xJ204"
"20","Abdomen Tapping",1612.42,1612.43,0.00999999999999091,"g1.J101xJ204"
"22","Leg Showcase",1613.4,1620.78,7.37999999999988,"g1.J101xJ204"
"23","Freezing",1620.78,1630.8,10.02,"g1.J101xJ204"
"25","Leg Showcase + Pedipalp Showcase",1630.94,1632.92,1.98000000000002,"g1.J101xJ204"
"26","Mounting.Start",1632.92,1632.93,0.00999999999999091,"g1.J101xJ204"
"27","Leg Showcase + Mounted + Pedipalp Showcase",1632.93,1634.96,2.02999999999997,"g1.J101xJ204"
"28","Leg Showcase + Mounted",1634.96,1637.04,2.07999999999993,"g1.J101xJ204"
"29","Mounted + Freezing",1637.04,1658.97,21.9300000000001,"g1.J101xJ204"
"30","Leg Showcase + Mounted",1658.97,1663.87,4.89999999999986,"g1.J101xJ204"
"31","Mounted + Freezing",1663.87,1678.22,14.3500000000001,"g1.J101xJ204"
"32","Leg Showcase + Mounted",1678.22,1684.76,6.53999999999996,"g1.J101xJ204"
"33","Mounted + Freezing",1684.76,1703.04,18.28,"g1.J101xJ204"
"34","Leg Showcase + Mounted + Pedipalp Showcase",1703.04,1704.26,1.22000000000003,"g1.J101xJ204"
"35","Leg Showcase + Mounted",1704.26,1706.06,1.79999999999995,"g1.J101xJ204"
"36","Mounted + Freezing",1706.06,1737.7,31.6400000000001,"g1.J101xJ204"
"38","Leg Showcase + Mounted + Pedipalp Showcase",1738.1,1740.12,2.01999999999998,"g1.J101xJ204"
"40","Mounted + Freezing",1740.14,1756.05,15.9099999999999,"g1.J101xJ204"
"42","Leg Showcase + Mounted + Pedipalp Showcase",1756.66,1757.67,1.00999999999999,"g1.J101xJ204"
"43","Leg Showcase + Mounted",1757.67,1759.58,1.90999999999985,"g1.J101xJ204"
"44","Mounted + Freezing",1759.58,1774.56,14.98,"g1.J101xJ204"
"46","Leg Showcase + Mounted + Pedipalp Showcase",1774.86,1776.64,1.7800000000002,"g1.J101xJ204"
"48","Mounted + Freezing",1776.79,1801,24.21,"g1.J101xJ204"
"49","Leg Showcase + Mounted",1801,1804.09,3.08999999999992,"g1.J101xJ204"
"50","Mounted + Freezing",1804.09,1808.35,4.25999999999999,"g1.J101xJ204"
"51","Leg Showcase + Mounted",1808.35,1810.92,2.57000000000016,"g1.J101xJ204"
