"","Behaviour","START","STOP","Duration","ID"
"1","Courtship.Start",2761.07,2767.73,6.65999999999985,"g1.J144xG39"
"2","Freezing",2767.73,2822.74,55.0099999999998,"g1.J144xG39"
"3","Leg Showcase",2822.74,2839.33,16.5900000000001,"g1.J144xG39"
"4","Freezing",2839.33,2846.12,6.78999999999996,"g1.J144xG39"
"5","Leg Showcase",2846.12,2865.7,19.5799999999999,"g1.J144xG39"
"6","Freezing",2865.7,2870.2,4.5,"g1.J144xG39"
"7","Leg Showcase",2870.2,2903.76,33.5600000000004,"g1.J144xG39"
"8","Abdomen Tapping",2903.76,2903.77,0.00999999999976353,"g1.J144xG39"
"9","Leg Showcase",2903.77,2940.24,36.4699999999998,"g1.J144xG39"
"10","Abdomen Tapping",2940.24,2940.25,0.0100000000002183,"g1.J144xG39"
"11","Leg Showcase",2940.25,2967.61,25.7600000000002,"g1.J144xG39"
"16","Abdomen Tapping",2967.61,2967.62,0.00999999999976353,"g1.J144xG39"
"17","Leg Showcase",2967.62,3007.96,40.3400000000001,"g1.J144xG39"
"18","Abdomen Tapping",3007.96,3007.97,0.00999999999976353,"g1.J144xG39"
"19","Leg Showcase",3007.97,3022.68,14.71,"g1.J144xG39"
"20","Leg Showcase + Pedipalp Showcase",3022.68,3023.83,1.15000000000009,"g1.J144xG39"
"22","Abdomen Tapping",3024.82,3024.83,0.00999999999976353,"g1.J144xG39"
"23","Leg Showcase",3024.83,3043.17,18.3400000000001,"g1.J144xG39"
"24","Abdomen Tapping",3043.17,3043.18,0.00999999999976353,"g1.J144xG39"
"25","Leg Showcase",3043.18,3067.9,24.7200000000003,"g1.J144xG39"
"26","Freezing",3067.9,3071.81,3.90999999999985,"g1.J144xG39"
"28","Abdomen Tapping",3072.48,3072.49,0.00999999999976353,"g1.J144xG39"
"29","Leg Showcase",3072.49,3115.42,42.9300000000003,"g1.J144xG39"
"30","Freezing",3115.42,3122.24,6.81999999999971,"g1.J144xG39"
"31","Leg Showcase",3122.24,3124.54,2.30000000000018,"g1.J144xG39"
"32","Abdomen Tapping",3124.54,3124.55,0.0100000000002183,"g1.J144xG39"
"33","Leg Showcase",3124.55,3216.29,91.0299999999997,"g1.J144xG39"
"36","Freezing",3216.29,3261.6,45.3099999999999,"g1.J144xG39"
"37","Leg Showcase",3261.6,3266.29,4.69000000000005,"g1.J144xG39"
"38","Freezing",3266.29,3267.84,1.55000000000018,"g1.J144xG39"
"39","Leg Showcase",3267.84,3282.24,14.3999999999996,"g1.J144xG39"
"40","Freezing",3282.24,3285.18,2.94000000000005,"g1.J144xG39"
"41","Leg Showcase",3285.18,3311.28,26.1000000000004,"g1.J144xG39"
"42","Abdomen Tapping",3311.28,3311.29,0.00999999999976353,"g1.J144xG39"
"43","Leg Showcase",3311.29,3329.28,17.9900000000002,"g1.J144xG39"
"44","Abdomen Tapping",3329.28,3329.29,0.00999999999976353,"g1.J144xG39"
"45","Leg Showcase",3329.29,3344.83,15.54,"g1.J144xG39"
"46","Leg Showcase + Pedipalp Showcase",3344.83,3346.92,2.09000000000015,"g1.J144xG39"
"47","Abdomen Tapping",3346.92,3346.93,0.00999999999976353,"g1.J144xG39"
"48","Leg Showcase + Pedipalp Showcase",3346.93,3349.64,2.71000000000004,"g1.J144xG39"
"49","Leg Showcase",3349.64,3354.58,4.94000000000005,"g1.J144xG39"
"50","Leg Showcase + Pedipalp Showcase",3354.58,3359.62,5.03999999999996,"g1.J144xG39"
"51","Leg Showcase",3359.62,3360.81,1.19000000000005,"g1.J144xG39"
"52","Freezing",3360.81,3364.59,3.7800000000002,"g1.J144xG39"
"53","Leg Showcase",3364.59,3365.7,1.10999999999967,"g1.J144xG39"
"54","Leg Showcase + Pedipalp Showcase",3365.7,3367.58,1.88000000000011,"g1.J144xG39"
"55","Leg Showcase",3367.58,3368.92,1.34000000000015,"g1.J144xG39"
"56","Leg Showcase + Pedipalp Showcase",3368.92,3370.93,2.00999999999976,"g1.J144xG39"
"58","Freezing",3371.61,3378.13,6.51999999999998,"g1.J144xG39"
"59","Leg Showcase",3378.13,3379.23,1.09999999999991,"g1.J144xG39"
"61","Mounting.Start",3379.34,3379.35,0.00999999999976353,"g1.J144xG39"
"62","Mounted + Freezing",3379.35,3396.55,17.2000000000003,"g1.J144xG39"
"64","Leg Showcase + Mounted + Pedipalp Showcase",3396.96,3398.62,1.65999999999985,"g1.J144xG39"
"66","Mounted + Freezing",3398.71,3423.73,25.02,"g1.J144xG39"
"68","Leg Showcase + Mounted + Pedipalp Showcase",3423.83,3428.91,5.07999999999993,"g1.J144xG39"
"70","Mounted + Freezing",3429.21,3432.99,3.77999999999975,"g1.J144xG39"
"71","Freezing",3432.99,3442.5,9.51000000000022,"g1.J144xG39"
