"","Behaviour","START","STOP","Duration","ID"
"1","Courtship.Start",2176.96,2176.97,0.00999999999976353,"g1.J183xH26"
"2","Leg Showcase",2176.97,2213.98,37.0100000000002,"g1.J183xH26"
"3","Freezing",2213.98,2223.45,9.4699999999998,"g1.J183xH26"
"4","Pedipalp Showcase",2223.45,2225.81,2.36000000000013,"g1.J183xH26"
"5","Leg Showcase + Pedipalp Showcase",2225.81,2227.28,1.47000000000025,"g1.J183xH26"
"7","Freezing",2227.58,2236.74,9.15999999999985,"g1.J183xH26"
"8","Leg Showcase",2236.74,2323.57,86.8300000000004,"g1.J183xH26"
"9","Leg Showcase + Pedipalp Showcase",2323.57,2325.96,2.38999999999987,"g1.J183xH26"
"10","Leg Showcase",2325.96,2345.66,19.6999999999998,"g1.J183xH26"
"11","Leg Showcase + Pedipalp Showcase",2345.66,2347.35,1.69000000000005,"g1.J183xH26"
"12","Leg Showcase",2347.35,2356.42,9.07000000000016,"g1.J183xH26"
"13","Leg Showcase + Pedipalp Showcase",2356.42,2358.68,2.25999999999976,"g1.J183xH26"
"14","Leg Showcase",2358.68,2377.26,18.5800000000004,"g1.J183xH26"
"15","Freezing",2377.26,2381.6,4.33999999999969,"g1.J183xH26"
"16","Leg Showcase",2381.6,2390.91,9.30999999999995,"g1.J183xH26"
"17","Freezing",2390.91,2393.07,2.16000000000031,"g1.J183xH26"
"18","Leg Showcase",2393.07,2397.91,4.83999999999969,"g1.J183xH26"
"19","Freezing",2397.91,2399.31,1.40000000000009,"g1.J183xH26"
"20","Leg Showcase",2399.31,2405.66,6.34999999999991,"g1.J183xH26"
"21","Freezing",2405.66,2424.48,18.8200000000002,"g1.J183xH26"
"23","Leg Showcase + Pedipalp Showcase",2424.5,2429.92,5.42000000000007,"g1.J183xH26"
"25","Freezing",2430.24,2436.51,6.27000000000044,"g1.J183xH26"
"26","Leg Showcase",2436.51,2438.12,1.60999999999967,"g1.J183xH26"
"27","Leg Showcase + Pedipalp Showcase",2438.12,2441.35,3.23000000000002,"g1.J183xH26"
"28","Leg Showcase",2441.35,2444.86,3.51000000000022,"g1.J183xH26"
"29","Freezing",2444.86,2450.52,5.65999999999985,"g1.J183xH26"
"30","Leg Showcase",2450.52,2462.84,12.3200000000002,"g1.J183xH26"
"31","Freezing",2462.84,2475.02,12.1799999999998,"g1.J183xH26"
"32","Leg Showcase",2475.02,2481.54,6.51999999999998,"g1.J183xH26"
"33","Freezing",2481.54,2490.32,8.7800000000002,"g1.J183xH26"
"34","Leg Showcase",2490.32,2491.6,1.27999999999975,"g1.J183xH26"
"35","Leg Showcase + Pedipalp Showcase",2491.6,2497.68,6.07999999999993,"g1.J183xH26"
"36","Leg Showcase",2497.68,2498.73,1.05000000000018,"g1.J183xH26"
"37","Freezing",2498.73,2505.08,6.34999999999991,"g1.J183xH26"
"39","Leg Showcase + Pedipalp Showcase",2505.67,2512.89,7.2199999999998,"g1.J183xH26"
"41","Freezing",2513.12,2519.82,6.70000000000027,"g1.J183xH26"
"42","Pedipalp Showcase",2519.82,2521.35,1.52999999999975,"g1.J183xH26"
"43","Leg Showcase + Pedipalp Showcase",2521.35,2527.29,5.94000000000005,"g1.J183xH26"
"44","Pedipalp Showcase",2527.29,2529.27,1.98000000000002,"g1.J183xH26"
"45","Freezing",2529.27,2535.34,6.07000000000016,"g1.J183xH26"
"46","Pedipalp Showcase",2535.34,2536.53,1.19000000000005,"g1.J183xH26"
"47","Leg Showcase + Pedipalp Showcase",2536.53,2538.63,2.09999999999991,"g1.J183xH26"
"49","Freezing",2538.97,2540.48,1.51000000000022,"g1.J183xH26"
"50","Pedipalp Showcase",2540.48,2549.54,9.05999999999995,"g1.J183xH26"
"51","Freezing",2549.54,2552.96,3.42000000000007,"g1.J183xH26"
"52","Leg Showcase",2552.96,2571.56,18.5999999999999,"g1.J183xH26"
"53","Leg Showcase + Pedipalp Showcase",2571.56,2574.58,3.01999999999998,"g1.J183xH26"
"55","Freezing",2574.92,2583.13,8.21000000000004,"g1.J183xH26"
"56","Leg Showcase",2583.13,2584.99,1.85999999999967,"g1.J183xH26"
"57","Leg Showcase + Pedipalp Showcase",2584.99,2591.23,6.24000000000024,"g1.J183xH26"
"59","Freezing",2591.51,2596.65,5.13999999999987,"g1.J183xH26"
"60","Leg Showcase",2596.65,2601.15,4.5,"g1.J183xH26"
"61","Leg Showcase + Pedipalp Showcase",2601.15,2614.91,13.7599999999998,"g1.J183xH26"
"63","Freezing",2615.49,2622.51,7.02000000000044,"g1.J183xH26"
"65","Leg Showcase + Pedipalp Showcase",2623.11,2629.31,6.19999999999982,"g1.J183xH26"
"67","Freezing",2629.54,2635.09,5.55000000000018,"g1.J183xH26"
"68","Leg Showcase",2635.09,2636.28,1.19000000000005,"g1.J183xH26"
"69","Leg Showcase + Pedipalp Showcase",2636.28,2652.36,16.0799999999999,"g1.J183xH26"
"70","Leg Showcase",2652.36,2655.36,3,"g1.J183xH26"
"71","Freezing",2655.36,2660.58,5.2199999999998,"g1.J183xH26"
"72","Leg Showcase",2660.58,2665.49,4.90999999999985,"g1.J183xH26"
"73","Leg Showcase + Pedipalp Showcase",2665.49,2672.28,6.79000000000042,"g1.J183xH26"
"74","Leg Showcase",2672.28,2676.72,4.4399999999996,"g1.J183xH26"
"75","Freezing",2676.72,2681.4,4.68000000000029,"g1.J183xH26"
"76","Leg Showcase",2681.4,2685.32,3.92000000000007,"g1.J183xH26"
"77","Freezing",2685.32,2700.66,15.3399999999997,"g1.J183xH26"
"78","Leg Showcase",2700.66,2703.98,3.32000000000016,"g1.J183xH26"
"79","Leg Showcase + Pedipalp Showcase",2703.98,2707,3.01999999999998,"g1.J183xH26"
"80","Leg Showcase",2707,2714.92,7.92000000000007,"g1.J183xH26"
"81","Leg Showcase + Pedipalp Showcase",2714.92,2718.59,3.67000000000007,"g1.J183xH26"
"82","Leg Showcase",2718.59,2720.11,1.51999999999998,"g1.J183xH26"
"83","Freezing",2720.11,2781.58,61.4699999999998,"g1.J183xH26"
"85","Leg Showcase + Pedipalp Showcase",2782.23,2786.65,4.42000000000007,"g1.J183xH26"
"86","Leg Showcase",2786.65,2787.68,1.02999999999975,"g1.J183xH26"
"87","Freezing",2787.68,2793.35,5.67000000000007,"g1.J183xH26"
"88","Leg Showcase",2793.35,2794.56,1.21000000000004,"g1.J183xH26"
"89","Leg Showcase + Pedipalp Showcase",2794.56,2799,4.44000000000005,"g1.J183xH26"
"90","Leg Showcase",2799,2800.12,1.11999999999989,"g1.J183xH26"
"91","Freezing",2800.12,2805.85,5.73000000000002,"g1.J183xH26"
"92","Leg Showcase",2805.85,2808.76,2.91000000000031,"g1.J183xH26"
"93","Leg Showcase + Pedipalp Showcase",2808.76,2812.18,3.41999999999962,"g1.J183xH26"
"94","Leg Showcase",2812.18,2815.78,3.60000000000036,"g1.J183xH26"
"95","Freezing",2815.78,2828.51,12.73,"g1.J183xH26"
"96","Leg Showcase",2828.51,2829.55,1.03999999999996,"g1.J183xH26"
"97","Leg Showcase + Pedipalp Showcase",2829.55,2832.78,3.23000000000002,"g1.J183xH26"
"98","Leg Showcase",2832.78,2834.68,1.89999999999964,"g1.J183xH26"
"99","Freezing",2834.68,2836.74,2.05999999999995,"g1.J183xH26"
"100","Leg Showcase",2836.74,2843.49,6.75,"g1.J183xH26"
"101","Leg Showcase + Pedipalp Showcase",2843.49,2849.07,5.58000000000038,"g1.J183xH26"
"102","Leg Showcase",2849.07,2850.15,1.07999999999993,"g1.J183xH26"
"103","Freezing",2850.15,2855.79,5.63999999999987,"g1.J183xH26"
"105","Leg Showcase + Pedipalp Showcase",2856.53,2861.08,4.54999999999973,"g1.J183xH26"
"107","Freezing",2861.17,2867.71,6.53999999999996,"g1.J183xH26"
"108","Leg Showcase",2867.71,2875.72,8.00999999999976,"g1.J183xH26"
"109","Freezing",2875.72,2887.86,12.1400000000003,"g1.J183xH26"
"111","Leg Showcase + Pedipalp Showcase",2888.28,2892.22,3.9399999999996,"g1.J183xH26"
"112","Leg Showcase",2892.22,2898.95,6.73000000000002,"g1.J183xH26"
"113","Freezing",2898.95,2906.12,7.17000000000007,"g1.J183xH26"
"114","Leg Showcase",2906.12,2908.87,2.75,"g1.J183xH26"
"115","Leg Showcase + Pedipalp Showcase",2908.87,2910.83,1.96000000000004,"g1.J183xH26"
"116","Leg Showcase",2910.83,2911.87,1.03999999999996,"g1.J183xH26"
"117","Freezing",2911.87,2929.03,17.1600000000003,"g1.J183xH26"
"118","Pedipalp Showcase",2929.03,2930.12,1.08999999999969,"g1.J183xH26"
"119","Leg Showcase + Pedipalp Showcase",2930.12,2943.31,13.1900000000001,"g1.J183xH26"
"120","Leg Showcase",2943.31,2953.75,10.4400000000001,"g1.J183xH26"
"121","Freezing",2953.75,2957.82,4.07000000000016,"g1.J183xH26"
"122","Leg Showcase",2957.82,2959.22,1.39999999999964,"g1.J183xH26"
"123","Leg Showcase + Pedipalp Showcase",2959.22,2970.4,11.1800000000003,"g1.J183xH26"
"124","Leg Showcase",2970.4,2973.72,3.31999999999971,"g1.J183xH26"
"125","Leg Showcase + Pedipalp Showcase",2973.72,2979.16,5.44000000000005,"g1.J183xH26"
"126","Leg Showcase",2979.16,2981.63,2.47000000000025,"g1.J183xH26"
"127","Freezing",2981.63,2983.83,2.19999999999982,"g1.J183xH26"
"128","Leg Showcase",2983.83,2996.13,12.3000000000002,"g1.J183xH26"
"129","Freezing",2996.13,2999.68,3.54999999999973,"g1.J183xH26"
"130","Leg Showcase",2999.68,3003.07,3.39000000000033,"g1.J183xH26"
"131","Freezing",3003.07,3019.58,16.5099999999998,"g1.J183xH26"
"132","Leg Showcase",3019.58,3030.4,10.8200000000002,"g1.J183xH26"
"133","Freezing",3030.4,3034.57,4.17000000000007,"g1.J183xH26"
"134","Leg Showcase",3034.57,3042.62,8.04999999999973,"g1.J183xH26"
"135","Leg Showcase + Pedipalp Showcase",3042.62,3052.53,9.91000000000031,"g1.J183xH26"
"136","Leg Showcase",3052.53,3054.55,2.01999999999998,"g1.J183xH26"
"137","Freezing",3054.55,3056.5,1.94999999999982,"g1.J183xH26"
"139","Leg Showcase + Pedipalp Showcase",3056.83,3060.43,3.59999999999991,"g1.J183xH26"
"140","Leg Showcase",3060.43,3062.14,1.71000000000004,"g1.J183xH26"
"141","Freezing",3062.14,3065.5,3.36000000000013,"g1.J183xH26"
"142","Leg Showcase",3065.5,3067.55,2.05000000000018,"g1.J183xH26"
"143","Freezing",3067.55,3069.88,2.32999999999993,"g1.J183xH26"
"144","Abdomen Tapping",3069.88,3070.85,0.9699999999998,"g1.J183xH26"
"146","Leg Showcase + Pedipalp Showcase",3071.84,3074.32,2.48000000000002,"g1.J183xH26"
"147","Leg Showcase",3074.32,3076.74,2.41999999999962,"g1.J183xH26"
"148","Freezing",3076.74,3080.39,3.65000000000009,"g1.J183xH26"
"150","Leg Showcase + Pedipalp Showcase",3081,3084.37,3.36999999999989,"g1.J183xH26"
"151","Leg Showcase",3084.37,3089.92,5.55000000000018,"g1.J183xH26"
"152","Freezing",3089.92,3092.8,2.88000000000011,"g1.J183xH26"
"153","Abdomen Tapping",3092.8,3094.27,1.4699999999998,"g1.J183xH26"
"157","Freezing",3095.99,3106.15,10.1600000000003,"g1.J183xH26"
"159","Leg Showcase + Pedipalp Showcase",3106.36,3110.67,4.30999999999995,"g1.J183xH26"
"161","Freezing",3111.2,3116.43,5.23000000000002,"g1.J183xH26"
"163","Leg Showcase + Pedipalp Showcase",3116.58,3118.48,1.90000000000009,"g1.J183xH26"
"164","Leg Showcase",3118.48,3121.54,3.05999999999995,"g1.J183xH26"
"165","Freezing",3121.54,3129.87,8.32999999999993,"g1.J183xH26"
"166","Mounting.Start",3129.87,3129.88,0.0100000000002183,"g1.J183xH26"
"168","Leg Showcase + Mounted",3130,3131.38,1.38000000000011,"g1.J183xH26"
"169","Leg Showcase + Mounted + Pedipalp Showcase",3131.38,3133.12,1.73999999999978,"g1.J183xH26"
"171","Mounted + Freezing",3134.12,3154.5,20.3800000000001,"g1.J183xH26"
"172","Leg Showcase + Mounted",3154.5,3157.6,3.09999999999991,"g1.J183xH26"
"173","Mounted + Freezing",3157.6,3170.44,12.8400000000001,"g1.J183xH26"
"174","Leg Showcase + Mounted",3170.44,3172.31,1.86999999999989,"g1.J183xH26"
"175","Mounted + Freezing",3172.31,3179.66,7.34999999999991,"g1.J183xH26"
"176","Freezing",3179.66,3191.43,11.77,"g1.J183xH26"
"177","Leg Showcase",3191.43,3193.23,1.80000000000018,"g1.J183xH26"
"178","Freezing",3193.23,3203.24,10.0099999999998,"g1.J183xH26"
"179","Leg Showcase",3203.24,3204.26,1.02000000000044,"g1.J183xH26"
"182","Freezing",3205.47,3221.83,16.3600000000001,"g1.J183xH26"
"184","Leg Showcase + Pedipalp Showcase",3222.47,3225.54,3.07000000000016,"g1.J183xH26"
"186","Freezing",3225.89,3241.7,15.8099999999999,"g1.J183xH26"
"187","Leg Showcase",3241.7,3243.31,1.61000000000013,"g1.J183xH26"
"188","Freezing",3243.31,3274.21,30.9000000000001,"g1.J183xH26"
"190","Leg Showcase + Mounted",3274.3,3277.44,3.13999999999987,"g1.J183xH26"
"191","Mounted + Freezing",3277.44,3295.42,17.98,"g1.J183xH26"
"192","Leg Showcase + Mounted",3295.42,3296.57,1.15000000000009,"g1.J183xH26"
"195","Mounted + Freezing",3297.78,3321.19,23.4099999999999,"g1.J183xH26"
"197","Leg Showcase + Mounted + Pedipalp Showcase",3321.77,3324.5,2.73000000000002,"g1.J183xH26"
"199","Mounted + Freezing",3324.59,3341.75,17.1599999999999,"g1.J183xH26"
"201","Leg Showcase + Mounted + Pedipalp Showcase",3341.96,3346.89,4.92999999999984,"g1.J183xH26"
"203","Mounted + Freezing",3347.89,3352.93,5.03999999999996,"g1.J183xH26"
"205","Leg Showcase + Mounted + Pedipalp Showcase",3353.05,3355.88,2.82999999999993,"g1.J183xH26"
"207","Mounted + Freezing",3355.97,3363.71,6.80000000000018,"g1.J183xH26"
"210","Leg Showcase + Mounted",3363.71,3364.94,1.23000000000002,"g1.J183xH26"
"211","Mounted + Freezing",3364.94,3374.8,9.86000000000013,"g1.J183xH26"
"212","Leg Showcase + Mounted",3374.8,3376.08,1.27999999999975,"g1.J183xH26"
