experiment,female,male,ID,date,female.mated.before,trial.duration.s,latency.to.court,latency.to.mount,first.courtship.duration,first.mounting.duration,nb.flees,nb.courtships,nb.mounts
Set #10 Focal G26 x Non-focal H73,G26,H73,G26xH73,2021-07-12,TRUE,14489.28,NA,NA,NA,NA,1,1,0
Set #10 Focals G26 x J203,G26,J203,G26xJ203,2021-07-07,FALSE,14423.52,7862.78,8732.83,870.05,758.93,1,4,9
Set #14 Focal G30 x Non-focal H52,G30,H52,G30xH52,2021-08-04,TRUE,14631.84,10264.97,11762.31,1497.34,2847.13,0,2,1
Set #14 Focals G30 x J210,G30,J210,G30xJ210,2021-07-29,FALSE,14469.6,3856.28,4253.76,397.48,2425.4,3,5,5
Set #11 Focal H30 x Non-focal G38,H30,G38,H30xG38,2021-07-20,TRUE,14557.92,6169.91,9819.99,3650.08,11.14,4,4,20
Set #11 Focals H30 x H71,H30,H71,H30xH71,2021-07-16,FALSE,14488.8,4727,6710.49,1983.49,159.21,1,3,17
Set #06 Focal H45 x Non-focal H67,H45,H67,H45xH67,2021-06-24,TRUE,14532.48,NA,NA,NA,NA,2,11,0
Set #06 Focals H45 x H65,H45,H65,H45xH65,2021-06-15,FALSE,14425.44,4281.84,5623.33,1341.49,58.39,0,4,7
Set #13 Focal H62 x Non-focal G33 2,H62,G33,H62xG33,2021-07-29,TRUE,14528.64,10804.65,11988.54,1183.89,113.25,2,2,3
Set #13 Focals H62 x J132,H62,J132,H62xJ132,2021-07-22,FALSE,14599.2,4657.8,6030.84,1373.04,315.23,2,2,8
Set #04 Focal J101 x Non-focal H76,J101,H76,J101xH76,2021-06-21,TRUE,14474,3406.7,3813.3,406.6,54.18,10,9,22
Set #04 Focals J101 x J204,J101,J204,J101xJ204,2021-06-08,FALSE,11919,1471.94,1632.92,160.98,2459.14,2,4,8
Set #05 Focal J102 x Non-focal J161,J102,J161,J102xJ161,2021-06-14,TRUE,14478,4261,4706.74,445.74,10.6,6,7,27
Set #05 Focals J102 x J206,J102,J206,J102xJ206,2021-06-08,FALSE,14452,2763.43,3279.83,516.4,685.78,4,5,15
Set #09 Focal J110 x Non-focal J140,J110,J140,J110xJ140,2021-07-09,TRUE,7969.92,2992.38,3592.2,599.82,586.32,0,5,4
Set #09 Focals J110 x H67,J110,H67,J110xH67,2021-07-06,FALSE,14486.88,1074.18,3167.31,2093.13,1042.6,0,5,10
Set #12 Focal J124 x Non-focal G32,J124,G32,J124xG32,2021-07-26,TRUE,14533.44,11180.12,11715.22,535.09,1111.91,6,6,8
Set #12 Focals J124 x G42,J124,G42,J124xG42,2021-07-21,FALSE,14429.28,2510.15,3606.56,1096.41,1053.97,6,5,3
Set #07 Focal J144 x Non-focal G38,J144,G38,J144xG38,2021-06-28,TRUE,14485.92,2527.45,2909.02,381.57,772.52,0,8,8
Set #07 Focals J144 x G39,J144,G39,J144xG39,2021-06-22,FALSE,14483.04,2761.07,3379.34,618.27,63.15,1,4,3
Set #08 Focal J183 x Non-focal G35,J183,G35,J183xG35,2021-07-05,TRUE,14469.12,2866,3858.23,992.23,56.11,8,7,6
Set #08 Focals J183 x H26,J183,H26,J183xH26,2021-06-29,FALSE,14465.28,2176.96,3129.87,952.91,853.85,2,2,9
Set #03 Focal J189 x Non-focal H37,J189,H37,J189xH37,2021-05-28,TRUE,14456,NA,NA,NA,NA,2,3,0
Set #03 Focals J189 x J112,J189,J112,J189xJ112,2021-05-21,FALSE,14428,2475.99,3959.45,1483.46,178.49,2,5,12
Set #02 Focal J190 x Non-focal J212,J190,J212,J190xJ212,2021-06-15,TRUE,14458,2788.61,5348.46,2559.85,836.59,2,7,21
Set #02 Focals J190 x J42,J190,J42,J190xJ42,2021-05-11,FALSE,5024,661,1087.1,426.1,625.5,2,3,5
Set #01 Focal J191 x Non-focal G16,J191,G16,J191xG16,2021-05-18,TRUE,14554,NA,NA,NA,NA,1,1,0
Set #01 Focals J191 x J68,J191,J68,J191xJ68,2021-05-07,FALSE,14460,2099.78,3281.06,1181.28,567.14,5,4,14
Set #15 Focal J201 x Non-focal G32,J201,G32,J201xG32,2021-08-07,TRUE,14582.4,NA,NA,NA,NA,2,4,0
Set #15 Focals J201 x G43,J201,G43,J201xG43,2021-07-28,FALSE,14432.64,5794.37,8021.97,2227.6,266.23,4,4,7
