"","Behavior 0","Behavior 1","Mating ID"
"1","Courtship.Start","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"2","Leg Showcase + Pedipalp Showcase","Freezing","g2.G30xH52"
"3","Freezing","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"4","Leg Showcase + Pedipalp Showcase","Freezing","g2.G30xH52"
"5","Freezing","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"6","Leg Showcase + Pedipalp Showcase","Freezing","g2.G30xH52"
"7","Freezing","Pedipalp Showcase","g2.G30xH52"
"8","Pedipalp Showcase","Freezing","g2.G30xH52"
"9","Freezing","Pedipalp Showcase","g2.G30xH52"
"10","Pedipalp Showcase","Freezing","g2.G30xH52"
"11","Freezing","Pedipalp Showcase","g2.G30xH52"
"12","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"13","Leg Showcase + Pedipalp Showcase","Freezing","g2.G30xH52"
"14","Freezing","Leg Showcase","g2.G30xH52"
"15","Leg Showcase","Freezing","g2.G30xH52"
"16","Freezing","Leg Showcase","g2.G30xH52"
"17","Leg Showcase","Freezing","g2.G30xH52"
"18","Freezing","Leg Showcase","g2.G30xH52"
"19","Leg Showcase","Freezing","g2.G30xH52"
"20","Freezing","Leg Showcase","g2.G30xH52"
"21","Leg Showcase","Freezing","g2.G30xH52"
"22","Freezing","Leg Showcase","g2.G30xH52"
"23","Leg Showcase","Freezing","g2.G30xH52"
"24","Freezing","Leg Showcase","g2.G30xH52"
"25","Leg Showcase","Freezing","g2.G30xH52"
"26","Freezing","Leg Showcase","g2.G30xH52"
"27","Leg Showcase","Freezing","g2.G30xH52"
"28","Freezing","Leg Showcase","g2.G30xH52"
"29","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"30","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.G30xH52"
"31","Leg Showcase","Freezing","g2.G30xH52"
"32","Freezing","Pedipalp Showcase","g2.G30xH52"
"33","Pedipalp Showcase","Freezing","g2.G30xH52"
"34","Freezing","Leg Showcase","g2.G30xH52"
"35","Leg Showcase","Freezing","g2.G30xH52"
"36","Freezing","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"37","Leg Showcase + Pedipalp Showcase","Freezing","g2.G30xH52"
"38","Freezing","Leg Showcase","g2.G30xH52"
"39","Leg Showcase","Freezing","g2.G30xH52"
"40","Freezing","Leg Showcase","g2.G30xH52"
"41","Leg Showcase","Freezing","g2.G30xH52"
"42","Freezing","Leg Showcase","g2.G30xH52"
"43","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"44","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.G30xH52"
"45","Leg Showcase","Freezing","g2.G30xH52"
"46","Freezing","Leg Showcase","g2.G30xH52"
"47","Leg Showcase","Freezing","g2.G30xH52"
"48","Freezing","Leg Showcase","g2.G30xH52"
"49","Leg Showcase","Freezing","g2.G30xH52"
"50","Freezing","Leg Showcase","g2.G30xH52"
"51","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"52","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.G30xH52"
"53","Leg Showcase","Freezing","g2.G30xH52"
"54","Freezing","Leg Showcase","g2.G30xH52"
"55","Leg Showcase","Freezing","g2.G30xH52"
"56","Freezing","Pedipalp Showcase","g2.G30xH52"
"57","Pedipalp Showcase","Leg Showcase","g2.G30xH52"
"58","Leg Showcase","Freezing","g2.G30xH52"
"59","Freezing","Leg Showcase","g2.G30xH52"
"60","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"61","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.G30xH52"
"62","Leg Showcase","Freezing","g2.G30xH52"
"63","Freezing","Leg Showcase","g2.G30xH52"
"64","Leg Showcase","Freezing","g2.G30xH52"
"65","Freezing","Leg Showcase","g2.G30xH52"
"66","Leg Showcase","Freezing","g2.G30xH52"
"67","Freezing","Leg Showcase","g2.G30xH52"
"68","Leg Showcase","Freezing","g2.G30xH52"
"69","Freezing","Leg Showcase","g2.G30xH52"
"70","Leg Showcase","Freezing","g2.G30xH52"
"71","Freezing","Leg Showcase","g2.G30xH52"
"72","Leg Showcase","Freezing","g2.G30xH52"
"73","Freezing","Pedipalp Showcase","g2.G30xH52"
"74","Pedipalp Showcase","Leg Showcase","g2.G30xH52"
"75","Leg Showcase","Freezing","g2.G30xH52"
"76","Freezing","Leg Showcase","g2.G30xH52"
"77","Leg Showcase","Freezing","g2.G30xH52"
"78","Freezing","Pedipalp Showcase","g2.G30xH52"
"79","Pedipalp Showcase","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"80","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.G30xH52"
"81","Leg Showcase","Freezing","g2.G30xH52"
"82","Freezing","Leg Showcase","g2.G30xH52"
"83","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"84","Leg Showcase + Pedipalp Showcase","Freezing","g2.G30xH52"
"85","Freezing","Leg Showcase","g2.G30xH52"
"86","Leg Showcase","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"87","Leg Showcase + Pedipalp Showcase","Freezing","g2.G30xH52"
"88","Freezing","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"89","Leg Showcase + Pedipalp Showcase","Abdomen Tapping","g2.G30xH52"
"90","Abdomen Tapping","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"91","Leg Showcase + Pedipalp Showcase","Freezing","g2.G30xH52"
"92","Freezing","Leg Showcase + Pedipalp Showcase","g2.G30xH52"
"93","Leg Showcase + Pedipalp Showcase","Leg Showcase","g2.G30xH52"
